,CPU time,Recall,FDR,Peak RAM,Ref Accuracy,Extracted Ref (M),Methods,fraction,F1,Complexity,BKP_num
0,2.02,0.78,0.78,21.92,0.93,75.34,LocalHGT,0.1,0.34,high,143
1,2.44,0.55,0.99,22.17,0.0,0.0,LEMON,0.1,0.02,high,2122
2,1.52,0.78,0.56,21.92,0.93,16.85,LocalHGT,0.1,0.56,low,71
3,2.23,0.5,0.99,21.86,0.0,0.0,LEMON,0.1,0.02,low,1969
4,1.92,0.78,0.87,21.94,0.93,67.58,LocalHGT,0.1,0.22,medium,240
5,2.68,0.5,0.99,22.38,0.0,0.0,LEMON,0.1,0.01,medium,3282
6,2.78,0.93,0.86,22.18,0.97,80.86,LocalHGT,0.2,0.24,high,267
7,5.0,0.95,0.99,22.19,0.0,0.0,LEMON,0.2,0.01,high,5842
8,2.07,0.95,0.71,21.92,1.0,33.31,LocalHGT,0.2,0.45,low,129
9,4.59,0.88,0.99,21.88,0.0,0.0,LEMON,0.2,0.02,low,4131
10,2.66,0.95,0.91,21.96,0.98,56.12,LocalHGT,0.2,0.17,medium,408
11,5.56,0.88,1.0,22.39,0.0,0.0,LEMON,0.2,0.01,medium,7207
12,3.17,0.97,0.91,22.18,0.97,79.97,LocalHGT,0.3,0.16,high,436
13,7.77,0.97,1.0,22.18,0.0,0.0,LEMON,0.3,0.01,high,10321
14,2.27,0.97,0.73,21.93,0.98,33.32,LocalHGT,0.3,0.43,low,143
15,7.11,0.97,0.99,21.88,0.0,0.0,LEMON,0.3,0.01,low,6121
16,3.02,0.93,0.93,21.96,0.95,55.38,LocalHGT,0.3,0.12,medium,556
17,8.59,0.97,1.0,22.41,0.0,0.0,LEMON,0.3,0.01,medium,10906
18,3.48,0.95,0.93,22.18,0.97,79.88,LocalHGT,0.4,0.14,high,507
19,10.43,1.0,1.0,22.21,0.0,0.0,LEMON,0.4,0.01,high,15008
20,2.49,1.0,0.76,21.92,1.0,33.46,LocalHGT,0.4,0.39,low,165
21,10.0,1.0,1.0,21.88,0.0,0.0,LEMON,0.4,0.01,low,8007
22,3.33,0.93,0.94,21.96,0.95,55.01,LocalHGT,0.4,0.1,medium,667
23,11.59,1.0,1.0,22.42,0.0,0.0,LEMON,0.4,0.01,medium,14342
24,3.82,0.97,0.94,22.17,0.98,78.24,LocalHGT,0.5,0.11,high,673
25,13.29,1.0,1.0,22.22,0.0,0.0,LEMON,0.5,0.0,high,19643
26,2.77,0.97,0.77,21.93,0.98,31.89,LocalHGT,0.5,0.37,low,172
27,12.83,1.0,1.0,21.91,0.0,0.0,LEMON,0.5,0.01,low,9840
28,3.63,0.97,0.95,21.96,0.98,54.86,LocalHGT,0.5,0.1,medium,770
29,14.72,1.0,1.0,22.44,0.0,0.0,LEMON,0.5,0.0,medium,17816
30,4.22,0.95,0.95,22.18,0.97,78.3,LocalHGT,0.6,0.09,high,811
31,16.15,1.0,1.0,22.22,0.0,0.0,LEMON,0.6,0.0,high,24331
32,3.07,1.0,0.79,21.93,1.0,33.35,LocalHGT,0.6,0.35,low,191
33,15.74,1.0,1.0,21.91,0.0,0.0,LEMON,0.6,0.01,low,11530
34,3.99,1.0,0.95,21.98,1.0,54.41,LocalHGT,0.6,0.09,medium,858
35,18.14,1.0,1.0,22.44,0.0,0.0,LEMON,0.6,0.0,medium,21023
36,4.55,1.0,0.96,22.14,1.0,77.25,LocalHGT,0.7,0.09,high,893
37,19.13,1.0,1.0,22.23,0.0,0.0,LEMON,0.7,0.0,high,29245
38,3.22,0.93,0.79,21.93,0.95,29.02,LocalHGT,0.7,0.34,low,178
39,18.34,1.0,1.0,21.9,0.0,0.0,LEMON,0.7,0.01,low,13179
40,4.34,0.97,0.96,21.95,0.98,55.03,LocalHGT,0.7,0.08,medium,955
41,21.56,1.0,1.0,22.44,0.0,0.0,LEMON,0.7,0.0,medium,24243
42,4.94,1.0,0.96,22.15,1.0,77.32,LocalHGT,0.8,0.07,high,1057
43,22.25,1.0,1.0,22.23,0.0,0.0,LEMON,0.8,0.0,high,34300
44,3.53,0.97,0.81,21.92,0.98,30.41,LocalHGT,0.8,0.32,low,206
45,20.95,1.0,1.0,21.91,0.0,0.0,LEMON,0.8,0.01,low,14792
46,4.7,1.0,0.96,21.95,1.0,54.73,LocalHGT,0.8,0.08,medium,1018
47,25.03,1.0,1.0,22.44,0.0,0.0,LEMON,0.8,0.0,medium,27501
48,5.33,0.97,0.97,22.14,0.98,77.16,LocalHGT,0.9,0.06,high,1190
49,25.27,1.0,1.0,22.24,0.0,0.0,LEMON,0.9,0.0,high,39110
50,3.72,0.9,0.82,21.92,0.93,28.98,LocalHGT,0.9,0.3,low,203
51,24.55,1.0,1.0,21.92,0.0,0.0,LEMON,0.9,0.0,low,16392
52,5.12,0.97,0.96,21.95,0.98,54.88,LocalHGT,0.9,0.07,medium,1107
53,28.4,1.0,1.0,22.42,0.0,0.0,LEMON,0.9,0.0,medium,30482
54,5.85,0.95,0.97,22.17,0.97,77.86,LocalHGT,1.0,0.06,high,1232
55,28.32,1.0,1.0,22.24,0.0,0.0,LEMON,1.0,0.0,high,43865
56,4.09,1.0,0.83,21.93,1.0,31.75,LocalHGT,1.0,0.29,low,235
57,27.58,1.0,1.0,21.92,0.0,0.0,LEMON,1.0,0.0,low,17957
58,5.48,0.97,0.97,21.95,0.98,54.26,LocalHGT,1.0,0.07,medium,1137
59,31.81,1.0,1.0,22.42,0.0,0.0,LEMON,1.0,0.0,medium,33425
