,CPU time,Recall,FDR,Peak RAM,Ref Accuracy,Extracted Ref (M),Methods,Mutation Rate,F1 score,Complexity
0,8.37,1.0,0.97,21.78,1.0,109.75,LocalHGT,0.01,0.06,high
1,41.64,1.0,1.0,22.25,0.0,0.0,LEMON,0.01,0.0,high
2,5.18,1.0,0.74,21.65,1.0,19.92,LocalHGT,0.01,0.41,low
3,41.63,1.0,1.0,21.97,0.0,0.0,LEMON,0.01,0.0,low
4,8.05,1.0,0.96,21.67,1.0,80.0,LocalHGT,0.01,0.07,medium
5,49.25,1.0,1.0,22.47,0.0,0.0,LEMON,0.01,0.0,medium
6,8.37,1.0,0.97,21.83,1.0,111.94,LocalHGT,0.02,0.06,high
7,41.45,1.0,1.0,22.28,0.0,0.0,LEMON,0.02,0.0,high
8,5.31,1.0,0.75,21.68,1.0,21.36,LocalHGT,0.02,0.4,low
9,38.41,1.0,1.0,21.97,0.0,0.0,LEMON,0.02,0.0,low
10,8.21,1.0,0.97,21.7,1.0,81.7,LocalHGT,0.02,0.07,medium
11,43.76,1.0,1.0,22.46,0.0,0.0,LEMON,0.02,0.0,medium
12,8.4,1.0,0.97,21.81,1.0,111.09,LocalHGT,0.03,0.06,high
13,41.49,1.0,1.0,22.26,0.0,0.0,LEMON,0.03,0.0,high
14,5.29,1.0,0.74,21.68,1.0,20.36,LocalHGT,0.03,0.42,low
15,38.35,1.0,1.0,21.95,0.0,0.0,LEMON,0.03,0.0,low
16,8.16,1.0,0.97,21.7,1.0,80.48,LocalHGT,0.03,0.07,medium
17,47.73,1.0,1.0,22.45,0.0,0.0,LEMON,0.03,0.0,medium
18,8.53,1.0,0.97,21.83,1.0,115.64,LocalHGT,0.04,0.06,high
19,41.84,1.0,1.0,22.43,0.0,0.0,LEMON,0.04,0.0,high
20,5.41,1.0,0.73,21.65,1.0,24.73,LocalHGT,0.04,0.42,low
21,38.35,1.0,1.0,21.94,0.0,0.0,LEMON,0.04,0.0,low
22,8.33,1.0,0.96,21.67,1.0,85.25,LocalHGT,0.04,0.07,medium
23,45.21,1.0,1.0,22.69,0.0,0.0,LEMON,0.04,0.0,medium
24,8.51,1.0,0.97,21.79,1.0,111.71,LocalHGT,0.05,0.06,high
25,39.76,1.0,1.0,22.27,0.0,0.0,LEMON,0.05,0.0,high
26,5.59,1.0,0.73,21.65,1.0,25.17,LocalHGT,0.05,0.42,low
27,38.6,1.0,1.0,21.92,0.0,0.0,LEMON,0.05,0.0,low
28,8.4,1.0,0.97,21.71,1.0,85.19,LocalHGT,0.05,0.07,medium
29,44.51,1.0,1.0,22.48,0.0,0.0,LEMON,0.05,0.0,medium
