,Cutoff,k,empty
0,Zero,20,0.0177164
1,Zero,21,0.0653777
2,Zero,22,0.0100372
3,Zero,23,0.0556982
4,Zero,24,0.0427095
5,Zero,25,0.0306196
6,Zero,26,0.0934082
7,Zero,27,0.0443529
8,Zero,28,0.0685849
9,Zero,29,0.131613
10,Zero,30,0.233859
11,Zero,31,0.380289
12,Zero,32,0.5571169
13,Three,20,0.0181036
14,Three,21,0.0657821
15,Three,22,0.0111656
16,Three,23,0.0569184
17,Three,24,0.0437648
18,Three,25,0.0454668
19,Three,26,0.105962
20,Three,27,0.0876483
21,Three,28,0.155594
22,Three,29,0.29235
23,Three,30,0.487921
24,Three,31,0.703843
25,Three,32,0.8573696
