,CPU time,Recall,FDR,Peak RAM,Ref Accuracy,Extracted Ref (M),Methods,Depth,F1 score,Complexity
0,0.01,0.9,0.0,7.89,1.0,0.18,LocalHGT,5,0.95,
1,0.01,0.62,0.0,0.27,0.0,0.0,LEMON,5,0.77,
2,0.0,0.95,0.0,0.13,0.98,0.15,LocalHGT,5,0.97,
3,0.01,0.9,0.0,0.21,0.0,0.0,LEMON,5,0.95,
4,0.0,0.88,0.0,0.13,0.97,0.17,LocalHGT,5,0.93,
5,0.01,0.85,0.0,0.23,0.0,0.0,LEMON,5,0.92,
6,0.0,0.82,0.0,0.13,0.95,0.1,LocalHGT,5,0.9,
7,0.01,0.65,0.0,0.15,0.0,0.0,LEMON,5,0.79,
8,0.0,0.85,0.0,0.13,0.98,0.13,LocalHGT,5,0.92,
9,0.01,0.65,0.0,0.23,0.0,0.0,LEMON,5,0.79,
10,0.0,0.93,0.0,0.13,0.98,0.21,LocalHGT,5,0.96,
11,0.01,0.72,0.0,0.14,0.0,0.0,LEMON,5,0.84,
12,0.0,0.9,0.0,0.13,1.0,0.11,LocalHGT,5,0.95,
13,0.01,0.78,0.0,0.18,0.0,0.0,LEMON,5,0.87,
14,0.0,0.88,0.0,0.13,0.97,0.15,LocalHGT,5,0.93,
15,0.01,0.7,0.0,0.19,0.0,0.0,LEMON,5,0.82,
16,0.0,0.85,0.0,0.13,0.95,0.48,LocalHGT,5,0.92,
17,0.01,0.8,0.0,0.29,0.0,0.0,LEMON,5,0.89,
18,0.0,0.93,0.0,0.13,0.97,0.22,LocalHGT,5,0.96,
19,0.01,0.82,0.0,0.21,0.0,0.0,LEMON,5,0.9,
20,0.0,0.97,0.0,0.13,0.98,0.2,LocalHGT,10,0.99,
21,0.02,0.97,0.0,0.37,0.0,0.0,LEMON,10,0.99,
22,0.0,1.0,0.0,0.13,1.0,0.11,LocalHGT,10,1.0,
23,0.02,1.0,0.0,0.34,0.0,0.0,LEMON,10,1.0,
24,0.0,0.97,0.0,0.13,0.98,0.15,LocalHGT,10,0.99,
25,0.02,0.95,0.0,0.38,0.0,0.0,LEMON,10,0.97,
26,0.0,0.97,0.0,0.13,1.0,0.78,LocalHGT,10,0.99,
27,0.02,0.97,0.0,0.43,0.0,0.0,LEMON,10,0.99,
28,0.0,1.0,0.0,0.13,1.0,0.16,LocalHGT,10,1.0,
29,0.02,1.0,0.0,0.42,0.0,0.0,LEMON,10,1.0,
30,0.0,1.0,0.0,0.13,1.0,0.15,LocalHGT,10,1.0,
31,0.02,1.0,0.0,0.31,0.0,0.0,LEMON,10,1.0,
32,0.0,1.0,0.0,0.13,1.0,0.19,LocalHGT,10,1.0,
33,0.02,1.0,0.0,0.35,0.0,0.0,LEMON,10,1.0,
34,0.0,1.0,0.0,0.13,1.0,0.12,LocalHGT,10,1.0,
35,0.01,1.0,0.0,0.3,0.0,0.0,LEMON,10,1.0,
36,0.0,1.0,0.02,0.13,1.0,0.37,LocalHGT,10,0.99,
37,0.02,1.0,0.0,0.45,0.0,0.0,LEMON,10,1.0,
38,0.0,0.97,0.0,0.13,1.0,0.22,LocalHGT,10,0.99,
39,0.02,0.97,0.0,0.4,0.0,0.0,LEMON,10,0.99,
