,CPU time,Recall,FDR,Peak RAM,Ref Accuracy,Extracted Ref (M),Methods,donor,F1,Complexity
0,0.07,1.0,0.0,21.3,1.0,0.03,LocalHGT,in,1.0,
1,0.02,1.0,0.0,0.41,0.0,0.0,LEMON,in,1.0,
2,0.12,1.0,0.0,21.34,1.0,0.04,LocalHGT,in,1.0,
3,0.03,1.0,0.0,0.7,0.0,0.0,LEMON,in,1.0,
4,0.09,1.0,0.0,21.32,1.0,0.04,LocalHGT,in,1.0,
5,0.02,1.0,0.0,0.54,0.0,0.0,LEMON,in,1.0,
6,0.09,1.0,0.0,21.32,1.0,0.04,LocalHGT,in,1.0,
7,0.02,1.0,0.0,0.52,0.0,0.0,LEMON,in,1.0,
8,0.13,1.0,0.0,21.34,1.0,0.06,LocalHGT,in,1.0,
9,0.04,1.0,0.0,0.75,0.0,0.0,LEMON,in,1.0,
10,0.13,1.0,0.0,21.36,1.0,0.05,LocalHGT,in,1.0,
11,0.04,1.0,0.0,0.76,0.0,0.0,LEMON,in,1.0,
12,0.1,1.0,0.0,21.33,1.0,0.04,LocalHGT,in,1.0,
13,0.03,1.0,0.0,0.58,0.0,0.0,LEMON,in,1.0,
14,0.1,1.0,0.0,21.33,1.0,0.49,LocalHGT,in,1.0,
15,0.03,1.0,0.0,0.58,0.0,0.0,LEMON,in,1.0,
16,0.1,1.0,0.0,21.32,1.0,0.08,LocalHGT,in,1.0,
17,0.03,1.0,0.0,0.57,0.0,0.0,LEMON,in,1.0,
18,0.1,1.0,0.0,21.32,1.0,0.06,LocalHGT,in,1.0,
19,0.03,1.0,0.0,0.59,0.0,0.0,LEMON,in,1.0,
20,0.07,1.0,0.0,21.37,1.0,0.03,LocalHGT,not_in,1.0,
21,0.02,1.0,0.0,0.38,0.0,0.0,LEMON,not_in,1.0,
22,0.1,1.0,0.0,21.38,1.0,0.06,LocalHGT,not_in,1.0,
23,0.03,1.0,0.0,0.64,0.0,0.0,LEMON,not_in,1.0,
24,0.05,1.0,0.0,21.31,1.0,0.02,LocalHGT,not_in,1.0,
25,0.01,1.0,0.0,0.28,0.0,0.0,LEMON,not_in,1.0,
26,0.06,1.0,0.0,21.35,1.0,0.03,LocalHGT,not_in,1.0,
27,0.02,1.0,0.0,0.38,0.0,0.0,LEMON,not_in,1.0,
28,0.07,1.0,0.0,21.33,1.0,0.04,LocalHGT,not_in,1.0,
29,0.02,1.0,0.0,0.42,0.0,0.0,LEMON,not_in,1.0,
30,0.03,1.0,0.0,21.29,1.0,0.04,LocalHGT,not_in,1.0,
31,0.01,1.0,0.0,0.19,0.0,0.0,LEMON,not_in,1.0,
32,0.04,1.0,0.0,21.32,1.0,0.03,LocalHGT,not_in,1.0,
33,0.01,1.0,0.0,0.25,0.0,0.0,LEMON,not_in,1.0,
34,0.04,1.0,0.0,21.31,1.0,0.02,LocalHGT,not_in,1.0,
35,0.01,1.0,0.0,0.21,0.0,0.0,LEMON,not_in,1.0,
36,0.08,1.0,0.0,21.35,1.0,0.06,LocalHGT,not_in,1.0,
37,0.02,1.0,0.0,0.53,0.0,0.0,LEMON,not_in,1.0,
38,0.03,1.0,0.0,21.33,1.0,0.05,LocalHGT,not_in,1.0,
39,0.01,1.0,0.0,0.19,0.0,0.0,LEMON,not_in,1.0,
