,CPU time,Recall,FDR,Peak RAM,Ref Accuracy,Extracted Ref (M),Methods,frag,F1,Complexity
0,0.2,1.0,0.0,21.38,1.0,0.36,LocalHGT,200,1.0,
1,0.07,0.85,0.0,1.2,0.0,0.0,LEMON,200,0.92,
2,0.21,1.0,0.0,21.41,1.0,1.5,LocalHGT,200,1.0,
3,0.07,0.8,0.0,1.15,0.0,0.0,LEMON,200,0.89,
4,0.22,1.0,0.0,21.44,1.0,0.51,LocalHGT,200,1.0,
5,0.07,0.85,0.0,1.17,0.0,0.0,LEMON,200,0.92,
6,0.19,0.95,0.0,21.38,0.95,0.22,LocalHGT,200,0.97,
7,0.06,0.75,0.0,1.08,0.0,0.0,LEMON,200,0.86,
8,0.31,0.97,0.0,21.53,1.0,1.89,LocalHGT,200,0.99,
9,0.11,0.82,0.0,1.18,0.0,0.0,LEMON,200,0.9,
10,0.14,0.97,0.03,21.38,1.0,0.22,LocalHGT,200,0.97,
11,0.05,0.95,0.0,0.81,0.0,0.0,LEMON,200,0.97,
12,0.2,0.95,0.0,21.39,1.0,0.76,LocalHGT,200,0.97,
13,0.07,0.85,0.0,1.12,0.0,0.0,LEMON,200,0.92,
14,0.19,1.0,0.0,21.41,1.0,1.04,LocalHGT,200,1.0,
15,0.06,0.9,0.0,1.11,0.0,0.0,LEMON,200,0.95,
16,0.16,1.0,0.0,21.36,1.0,0.19,LocalHGT,200,1.0,
17,0.05,0.9,0.0,0.99,0.0,0.0,LEMON,200,0.95,
18,0.16,1.0,0.0,21.34,1.0,0.53,LocalHGT,200,1.0,
19,0.05,1.0,0.0,0.94,0.0,0.0,LEMON,200,1.0,
20,0.27,0.95,0.0,21.42,0.95,0.36,LocalHGT,350,0.97,
21,0.09,0.95,0.0,1.14,0.0,0.0,LEMON,350,0.97,
22,0.23,0.95,0.0,21.49,0.95,0.45,LocalHGT,350,0.97,
23,0.08,0.95,0.0,1.13,0.0,0.0,LEMON,350,0.97,
24,0.25,1.0,0.0,21.43,1.0,0.47,LocalHGT,350,1.0,
25,0.08,1.0,0.0,1.22,0.0,0.0,LEMON,350,1.0,
26,0.31,1.0,0.0,21.49,1.0,1.17,LocalHGT,350,1.0,
27,0.11,1.0,0.0,1.15,0.0,0.0,LEMON,350,1.0,
28,0.24,1.0,0.0,21.44,1.0,0.59,LocalHGT,350,1.0,
29,0.08,1.0,0.0,1.12,0.0,0.0,LEMON,350,1.0,
30,0.21,1.0,0.0,21.42,1.0,0.3,LocalHGT,350,1.0,
31,0.07,1.0,0.0,1.13,0.0,0.0,LEMON,350,1.0,
32,0.19,1.0,0.0,21.39,1.0,0.15,LocalHGT,350,1.0,
33,0.06,1.0,0.0,1.04,0.0,0.0,LEMON,350,1.0,
34,0.23,0.97,0.0,21.44,0.98,1.0,LocalHGT,350,0.99,
35,0.08,0.97,0.0,1.14,0.0,0.0,LEMON,350,0.99,
36,0.13,1.0,0.0,21.43,1.0,0.12,LocalHGT,350,1.0,
37,0.04,0.97,0.03,0.76,0.0,0.0,LEMON,350,0.97,
38,0.18,1.0,0.0,21.38,1.0,0.25,LocalHGT,350,1.0,
39,0.06,1.0,0.0,1.07,0.0,0.0,LEMON,350,1.0,
40,0.21,1.0,0.0,21.37,1.0,0.2,LocalHGT,500,1.0,
41,0.07,1.0,0.0,1.16,0.0,0.0,LEMON,500,1.0,
42,0.2,1.0,0.0,21.44,1.0,0.9,LocalHGT,500,1.0,
43,0.07,0.97,0.0,1.12,0.0,0.0,LEMON,500,0.99,
44,0.14,1.0,0.0,21.34,1.0,0.28,LocalHGT,500,1.0,
45,0.04,1.0,0.0,0.8,0.0,0.0,LEMON,500,1.0,
46,0.38,1.0,0.0,21.54,1.0,1.66,LocalHGT,500,1.0,
47,0.13,1.0,0.0,1.17,0.0,0.0,LEMON,500,1.0,
48,0.17,1.0,0.0,21.37,1.0,0.29,LocalHGT,500,1.0,
49,0.05,1.0,0.0,0.93,0.0,0.0,LEMON,500,1.0,
50,0.2,1.0,0.0,21.37,1.0,0.25,LocalHGT,500,1.0,
51,0.06,1.0,0.0,1.14,0.0,0.0,LEMON,500,1.0,
52,0.16,1.0,0.0,21.39,1.0,0.17,LocalHGT,500,1.0,
53,0.05,1.0,0.0,0.91,0.0,0.0,LEMON,500,1.0,
