,CPU time,Recall,FDR,Peak RAM,Ref Accuracy,Extracted Ref (M),Methods,length,F1,Complexity
0,0.21,0.9,0.0,21.42,1.0,0.65,LocalHGT,75,0.95,
1,0.09,0.9,0.0,1.71,0.0,0.0,LEMON,75,0.95,
2,0.17,0.9,0.0,21.47,1.0,0.23,LocalHGT,75,0.95,
3,0.07,0.9,0.0,1.67,0.0,0.0,LEMON,75,0.95,
4,0.09,0.97,0.0,21.33,1.0,0.2,LocalHGT,75,0.99,
5,0.03,0.97,0.0,1.12,0.0,0.0,LEMON,75,0.99,
6,0.12,0.9,0.0,21.35,1.0,0.13,LocalHGT,75,0.95,
7,0.05,0.9,0.0,1.5,0.0,0.0,LEMON,75,0.95,
8,0.21,0.95,0.0,21.45,1.0,0.21,LocalHGT,75,0.97,
9,0.09,0.93,0.03,1.7,0.0,0.0,LEMON,75,0.95,
10,0.24,0.9,0.0,21.52,1.0,0.41,LocalHGT,75,0.95,
11,0.11,0.9,0.0,1.68,0.0,0.0,LEMON,75,0.95,
12,0.2,0.97,0.0,21.43,1.0,0.18,LocalHGT,75,0.99,
13,0.09,0.97,0.0,1.68,0.0,0.0,LEMON,75,0.99,
14,0.31,0.95,0.0,21.55,1.0,0.59,LocalHGT,75,0.97,
15,0.14,0.93,0.03,1.73,0.0,0.0,LEMON,75,0.95,
16,0.11,1.0,0.0,21.34,1.0,0.21,LocalHGT,75,1.0,
17,0.04,1.0,0.0,1.32,0.0,0.0,LEMON,75,1.0,
18,0.16,1.0,0.0,21.42,1.0,0.18,LocalHGT,75,1.0,
19,0.07,1.0,0.0,1.66,0.0,0.0,LEMON,75,1.0,
