,CPU time,Recall,FDR,Peak RAM,Ref Accuracy,Extracted Ref (M),Methods,snp,F1 score,Complexity
0,0.12,1.0,0.0,21.31,1.0,0.13,LocalHGT,0.01,1.0,
1,0.05,1.0,0.0,0.9,0.0,0.0,LEMON,0.01,1.0,
2,0.14,0.97,0.0,21.35,0.98,0.22,LocalHGT,0.01,0.99,
3,0.05,0.97,0.0,0.93,0.0,0.0,LEMON,0.01,0.99,
4,0.21,1.0,0.0,21.42,1.0,0.28,LocalHGT,0.01,1.0,
5,0.08,1.0,0.0,1.21,0.0,0.0,LEMON,0.01,1.0,
6,0.15,1.0,0.0,21.36,1.0,0.25,LocalHGT,0.01,1.0,
7,0.06,1.0,0.0,1.06,0.0,0.0,LEMON,0.01,1.0,
8,0.18,1.0,0.02,21.38,1.0,0.22,LocalHGT,0.01,0.99,
9,0.07,1.0,0.0,1.13,0.0,0.0,LEMON,0.01,1.0,
10,0.2,0.97,0.03,21.37,0.98,0.21,LocalHGT,0.01,0.97,
11,0.07,0.97,0.0,1.13,0.0,0.0,LEMON,0.01,0.99,
12,0.2,1.0,0.0,21.42,1.0,0.32,LocalHGT,0.01,1.0,
13,0.07,1.0,0.0,1.17,0.0,0.0,LEMON,0.01,1.0,
14,0.19,0.95,0.0,21.39,0.95,0.19,LocalHGT,0.01,0.97,
15,0.07,0.95,0.0,1.17,0.0,0.0,LEMON,0.01,0.97,
16,0.26,1.0,0.02,21.42,1.0,1.02,LocalHGT,0.01,0.99,
17,0.1,1.0,0.0,1.16,0.0,0.0,LEMON,0.01,1.0,
18,0.16,1.0,0.0,21.36,1.0,0.19,LocalHGT,0.01,1.0,
19,0.06,1.0,0.0,1.0,0.0,0.0,LEMON,0.01,1.0,
20,0.19,1.0,0.0,21.44,1.0,0.17,LocalHGT,0.02,1.0,
21,0.08,1.0,0.0,1.16,0.0,0.0,LEMON,0.02,1.0,
22,0.19,1.0,0.0,21.33,1.0,0.23,LocalHGT,0.02,1.0,
23,0.08,0.97,0.03,1.19,0.0,0.0,LEMON,0.02,0.97,
24,0.21,1.0,0.0,21.43,1.0,0.22,LocalHGT,0.02,1.0,
25,0.1,1.0,0.0,1.09,0.0,0.0,LEMON,0.02,1.0,
26,0.23,1.0,0.0,21.38,1.0,0.35,LocalHGT,0.02,1.0,
27,0.1,1.0,0.0,1.2,0.0,0.0,LEMON,0.02,1.0,
28,0.21,1.0,0.0,21.41,1.0,0.32,LocalHGT,0.02,1.0,
29,0.1,1.0,0.0,1.12,0.0,0.0,LEMON,0.02,1.0,
30,0.19,1.0,0.0,21.36,1.0,0.81,LocalHGT,0.02,1.0,
31,0.08,1.0,0.0,1.15,0.0,0.0,LEMON,0.02,1.0,
