	sample	HGT_count	level	group
0	1	32	1	control
1	2	50	1	control
2	1	59	1	CRC
3	2	61	1	CRC
4	3	53	1	control
5	3	66	1	CRC
6	4	55	1	control
7	5	56	1	control
8	6	59	1	control
9	4	81	1	CRC
10	5	87	1	CRC
11	6	89	1	CRC
12	7	94	1	CRC
13	7	60	1	control
14	8	95	1	CRC
15	9	96	1	CRC
16	8	60	1	control
17	9	63	1	control
18	10	97	1	CRC
19	11	98	1	CRC
20	12	98	1	CRC
21	13	98	1	CRC
22	14	98	1	CRC
23	10	63	1	control
24	15	98	1	CRC
25	16	98	1	CRC
26	17	98	1	CRC
27	18	98	1	CRC
28	11	63	1	control
29	19	102	1	CRC
30	20	102	1	CRC
31	12	65	1	control
32	21	102	1	CRC
33	22	102	1	CRC
34	13	65	1	control
35	23	102	1	CRC
36	24	108	1	CRC
37	14	66	1	control
38	25	108	1	CRC
39	26	115	1	CRC
40	27	115	1	CRC
41	15	68	1	control
42	28	115	1	CRC
43	29	115	1	CRC
44	16	70	1	control
45	30	115	1	CRC
46	31	115	1	CRC
47	17	71	1	control
48	18	71	1	control
49	19	72	1	control
50	32	116	1	CRC
51	33	116	1	CRC
52	20	72	1	control
53	34	117	1	CRC
54	35	119	1	CRC
55	36	119	1	CRC
56	21	72	1	control
57	37	120	1	CRC
58	38	120	1	CRC
59	39	120	1	CRC
60	40	120	1	CRC
61	22	73	1	control
62	41	120	1	CRC
63	42	120	1	CRC
64	43	120	1	CRC
65	23	73	1	control
66	24	76	1	control
67	25	77	1	control
68	44	120	1	CRC
69	26	77	1	control
70	45	121	1	CRC
71	46	121	1	CRC
72	47	121	1	CRC
73	48	121	1	CRC
74	49	121	1	CRC
75	27	78	1	control
76	50	121	1	CRC
77	51	121	1	CRC
78	52	121	1	CRC
79	28	78	1	control
80	29	79	1	control
81	53	124	1	CRC
82	54	124	1	CRC
83	55	124	1	CRC
84	30	79	1	control
85	56	124	1	CRC
86	57	124	1	CRC
87	31	79	1	control
88	58	124	1	CRC
89	59	124	1	CRC
90	60	125	1	CRC
91	61	125	1	CRC
92	32	80	1	control
93	62	125	1	CRC
94	33	80	1	control
95	63	125	1	CRC
96	34	80	1	control
97	64	125	1	CRC
98	35	81	1	control
99	65	125	1	CRC
100	36	81	1	control
101	37	83	1	control
102	38	83	1	control
103	39	83	1	control
104	40	86	1	control
105	66	125	1	CRC
106	41	87	1	control
107	42	87	1	control
108	43	89	1	control
109	44	90	1	control
110	67	125	1	CRC
111	68	130	1	CRC
112	45	90	1	control
113	69	130	1	CRC
114	46	90	1	control
115	70	130	1	CRC
116	47	91	1	control
117	48	91	1	control
118	49	92	1	control
119	71	130	1	CRC
120	50	92	1	control
121	51	92	1	control
122	52	95	1	control
123	53	99	1	control
124	54	99	1	control
125	72	130	1	CRC
126	55	100	1	control
127	73	130	1	CRC
128	74	130	1	CRC
129	75	130	1	CRC
130	56	100	1	control
131	76	130	1	CRC
132	77	130	1	CRC
133	57	100	1	control
134	78	130	1	CRC
135	58	101	1	control
136	59	101	1	control
137	60	102	1	control
138	79	130	1	CRC
139	80	130	1	CRC
140	81	130	1	CRC
141	61	103	1	control
142	82	132	1	CRC
143	62	103	1	control
144	83	132	1	CRC
145	63	103	1	control
146	64	104	1	control
147	65	104	1	control
148	84	132	1	CRC
149	66	106	1	control
150	85	134	1	CRC
151	67	106	1	control
152	86	135	1	CRC
153	87	135	1	CRC
154	88	135	1	CRC
155	68	106	1	control
156	89	135	1	CRC
157	69	106	1	control
158	70	107	1	control
159	90	137	1	CRC
160	91	137	1	CRC
161	71	107	1	control
162	92	137	1	CRC
163	72	107	1	control
164	93	137	1	CRC
165	73	108	1	control
166	94	137	1	CRC
167	74	108	1	control
168	75	108	1	control
169	95	137	1	CRC
170	96	137	1	CRC
171	76	108	1	control
172	97	137	1	CRC
173	98	137	1	CRC
174	99	137	1	CRC
175	100	137	1	CRC
176	101	137	1	CRC
177	102	137	1	CRC
178	103	140	1	CRC
179	104	140	1	CRC
180	105	141	1	CRC
181	106	141	1	CRC
182	77	108	1	control
183	78	108	1	control
184	79	108	1	control
185	107	141	1	CRC
186	108	141	1	CRC
187	109	141	1	CRC
188	80	113	1	control
189	110	141	1	CRC
190	81	113	1	control
191	82	113	1	control
192	111	141	1	CRC
193	83	113	1	control
194	112	141	1	CRC
195	84	113	1	control
196	113	141	1	CRC
197	85	114	1	control
198	86	114	1	control
199	87	114	1	control
200	88	115	1	control
201	89	115	1	control
202	114	141	1	CRC
203	90	115	1	control
204	115	141	1	CRC
205	116	141	1	CRC
206	91	115	1	control
207	92	115	1	control
208	93	115	1	control
209	117	141	1	CRC
210	94	115	1	control
211	118	141	1	CRC
212	95	115	1	control
213	119	141	1	CRC
214	96	115	1	control
215	97	115	1	control
216	120	141	1	CRC
217	98	115	1	control
218	99	115	1	control
219	121	141	1	CRC
220	100	117	1	control
221	101	117	1	control
222	122	141	1	CRC
223	102	118	1	control
224	103	118	1	control
225	123	141	1	CRC
226	124	141	1	CRC
227	125	141	1	CRC
228	104	118	1	control
229	126	141	1	CRC
230	127	141	1	CRC
231	128	141	1	CRC
232	129	141	1	CRC
233	105	118	1	control
234	106	118	1	control
235	107	118	1	control
236	130	141	1	CRC
237	108	118	1	control
238	131	141	1	CRC
239	109	118	1	control
240	110	118	1	control
241	111	118	1	control
242	112	118	1	control
243	132	141	1	CRC
244	113	118	1	control
245	114	118	1	control
246	115	118	1	control
247	116	118	1	control
248	133	143	1	CRC
249	134	143	1	CRC
250	135	143	1	CRC
251	117	118	1	control
252	136	143	1	CRC
253	137	143	1	CRC
254	118	118	1	control
255	119	120	1	control
256	138	143	1	CRC
257	120	120	1	control
258	139	145	1	CRC
259	121	120	1	control
260	122	120	1	control
261	140	145	1	CRC
262	141	145	1	CRC
263	142	145	1	CRC
264	143	145	1	CRC
265	144	145	1	CRC
266	145	145	1	CRC
267	146	146	1	CRC
268	147	146	1	CRC
269	148	146	1	CRC
270	123	120	1	control
271	124	122	1	control
272	125	123	1	control
273	149	146	1	CRC
274	126	123	1	control
275	127	123	1	control
276	150	146	1	CRC
277	151	146	1	CRC
278	128	125	1	control
279	152	146	1	CRC
280	129	125	1	control
281	153	146	1	CRC
282	130	125	1	control
283	154	146	1	CRC
284	131	125	1	control
285	155	146	1	CRC
286	132	125	1	control
287	133	125	1	control
288	134	125	1	control
289	156	146	1	CRC
290	135	125	1	control
