,genus,length,family,color
0,S5-A14a,4,f__Anaerovoracaceae,indigo
1,Prevotella,4,f__Bacteroidaceae,blue
2,Bacteroides,4,f__Bacteroidaceae,blue
3,F0040,4,f__Bacteroidaceae,blue
4,Paraprevotella,4,f__Bacteroidaceae,blue
5,Agathobaculum,4,f__Butyricicoccaceae,salmon
6,CAG-776,4,f__CAG-1000,tan
7,PeH17,4,f__CAG-138,teal
8,Phil1,4,f__CAG-138,teal
9,CAG-269,4,f__CAG-508,lavender
10,CAG-631,4,f__CAG-631,chartreuse
11,CAG-349,4,f__CAG-917,aqua
12,Campylobacter_B,4,f__Campylobacteraceae,pink
13,Coprobacter,4,f__Coprobacteraceae,fuchsia
14,Collinsella,4,f__Coriobacteriaceae,beige
15,Adlercreutzia,4,f__Eggerthellaceae,violet
16,Citrobacter_B,4,f__Enterobacteriaceae,yellow
17,Pseudescherichia,4,f__Enterobacteriaceae,yellow
18,Escherichia,4,f__Enterobacteriaceae,yellow
19,Solobacterium,4,f__Erysipelotrichaceae,orange
20,Absiella,4,f__Erysipelotrichaceae,orange
21,Fusobacterium,4,f__Fusobacteriaceae,red
22,Fusobacterium_B,4,f__Fusobacteriaceae,red
23,CAG-484,4,f__Gastranaerophilaceae,lime
24,Gemella,4,f__Gemellaceae,magenta
25,Parvimonas,4,f__Helcococcaceae,purple
26,Anaerococcus,4,f__Helcococcaceae,purple
27,Ruminococcus_A,4,f__Lachnospiraceae,white
28,COE1,4,f__Lachnospiraceae,white
29,Lachnospira,4,f__Lachnospiraceae,white
30,Eubacterium_E,4,f__Lachnospiraceae,white
31,Anaerostipes,4,f__Lachnospiraceae,white
32,Blautia_A,4,f__Lachnospiraceae,white
33,Eisenbergiella,4,f__Lachnospiraceae,white
34,Fusicatenibacter,4,f__Lachnospiraceae,white
35,Agathobacter,4,f__Lachnospiraceae,white
36,Marvinbryantia,4,f__Lachnospiraceae,white
37,CAG-632,4,f__Lachnospiraceae,white
38,Eubacterium_J,4,f__Lachnospiraceae,white
39,UBA7160,4,f__Lachnospiraceae,white
40,GCA-900066135,4,f__Lachnospiraceae,white
41,Robinsoniella,4,f__Lachnospiraceae,white
42,Clostridium_Q,4,f__Lachnospiraceae,white
43,KLE1615,4,f__Lachnospiraceae,white
44,TF01-11,4,f__Lachnospiraceae,white
45,Leptotrichia,4,f__Leptotrichiaceae,darkolivegreen
46,Odoribacter,4,f__Marinifilaceae,cyan
47,Butyricimonas,4,f__Marinifilaceae,cyan
48,Rothia,4,f__Micrococcaceae,turquoise
49,Muribaculum,4,f__Muribaculaceae,orchid
50,Ureaplasma,4,f__Mycoplasmoidaceae,black
51,CAG-83,4,f__Oscillospiraceae,brown
52,UBA5446,4,f__Oscillospiraceae,brown
53,CAG-110,4,f__Oscillospiraceae,brown
54,Oscillibacter,4,f__Oscillospiraceae,brown
55,ER4,4,f__Oscillospiraceae,brown
56,CAG-170,4,f__Oscillospiraceae,brown
57,UBA1777,4,f__Oscillospiraceae,brown
58,Peptoniphilus_A,4,f__Peptoniphilaceae,khaki
59,Peptostreptococcus,4,f__Peptostreptococcaceae,gray
60,Kurthia,4,f__Planococcaceae,maroon
61,Porphyromonas,4,f__Porphyromonadaceae,green
62,Gemmiger,4,f__Ruminococcaceae,silver
63,Ruminococcus,4,f__Ruminococcaceae,silver
64,Ruthenibacterium,4,f__Ruminococcaceae,silver
65,Ruminococcus_C,4,f__Ruminococcaceae,silver
66,Neobitarella,4,f__Ruminococcaceae,silver
67,UBA1394,4,f__Ruminococcaceae,silver
68,TM7x,4,f__Saccharimonadaceae,navy
69,Parabacteroides,4,f__Tannerellaceae,crimson
70,CAG-41,4,f__UBA1381,gold
71,F0422,4,f__Veillonellaceae,coral
72,Veillonella,4,f__Veillonellaceae,coral
