,genus,length,family,color
0,g__Ruminococcus_E,3,f__Acutalibacteraceae,magenta
1,g__CAG-217,3,f__Acutalibacteraceae,magenta
2,g__Eubacterium_R,3,f__Acutalibacteraceae,magenta
3,g__UBA1417,3,f__Acutalibacteraceae,magenta
4,g__Prevotella,3,f__Bacteroidaceae,maroon
5,g__Prevotellamassilia,3,f__Bacteroidaceae,maroon
6,g__Bacteroides_A,3,f__Bacteroidaceae,maroon
7,g__Bacteroides_B,3,f__Bacteroidaceae,maroon
8,g__Bacteroides,3,f__Bacteroidaceae,maroon
9,g__Paraprevotella,3,f__Bacteroidaceae,maroon
10,g__Agathobaculum,3,f__Butyricicoccaceae,indigo
11,g__CAG-390,3,f__CAG-272,turquoise
12,g__CAG-269,3,f__CAG-508,coral
13,g__Coprobacter,3,f__Coprobacteraceae,cyan
14,g__Collinsella,3,f__Coriobacteriaceae,green
15,g__Pseudescherichia,3,f__Enterobacteriaceae,blue
16,g__Erysipelatoclostridium,3,f__Erysipelatoclostridiaceae,violet
17,g__Absiella,3,f__Erysipelotrichaceae,white
18,g__Anaerococcus,3,f__Helcococcaceae,beige
19,g__Blautia_A,3,f__Lachnospiraceae,red
20,g__Roseburia,3,f__Lachnospiraceae,red
21,g__Agathobacter,3,f__Lachnospiraceae,red
22,g__TF01-11,3,f__Lachnospiraceae,red
23,g__Blautia,3,f__Lachnospiraceae,red
24,g__Faecalicatena,3,f__Lachnospiraceae,red
25,g__COE1,3,f__Lachnospiraceae,red
26,g__Clostridium_M,3,f__Lachnospiraceae,red
27,g__Lachnospira,3,f__Lachnospiraceae,red
28,g__Acetatifactor,3,f__Lachnospiraceae,red
29,g__Coprococcus,3,f__Lachnospiraceae,red
30,g__CAG-81,3,f__Lachnospiraceae,red
31,g__Eubacterium_E,3,f__Lachnospiraceae,red
32,g__Eubacterium_I,3,f__Lachnospiraceae,red
33,g__Fusicatenibacter,3,f__Lachnospiraceae,red
34,g__CAG-127,3,f__Lachnospiraceae,red
35,g__UBA2882,3,f__Lachnospiraceae,red
36,g__Lachnobacterium,3,f__Lachnospiraceae,red
37,g__Coprococcus_A,3,f__Lachnospiraceae,red
38,g__Marvinbryantia,3,f__Lachnospiraceae,red
39,g__CAG-95,3,f__Lachnospiraceae,red
40,g__Dorea,3,f__Lachnospiraceae,red
41,g__Hungatella_A,3,f__Lachnospiraceae,red
42,g__Clostridium_Q,3,f__Lachnospiraceae,red
43,g__Anaerostipes,3,f__Lachnospiraceae,red
44,g__UBA7160,3,f__Lachnospiraceae,red
45,g__CAG-411,3,f__Lachnospiraceae,red
46,g__Leptotrichia,3,f__Leptotrichiaceae,brown
47,g__Odoribacter,3,f__Marinifilaceae,lavender
48,g__Rothia,3,f__Micrococcaceae,black
49,g__Ureaplasma,3,f__Mycoplasmoidaceae,purple
50,g__ER4,3,f__Oscillospiraceae,yellow
51,g__Lawsonibacter,3,f__Oscillospiraceae,yellow
52,g__UBA1777,3,f__Oscillospiraceae,yellow
53,g__CAG-83,3,f__Oscillospiraceae,yellow
54,g__CAG-110,3,f__Oscillospiraceae,yellow
55,g__Flavonifractor,3,f__Oscillospiraceae,yellow
56,g__Oscillibacter,3,f__Oscillospiraceae,yellow
57,g__UBA7185,3,f__Peptococcaceae,gold
58,g__Kurthia,3,f__Planococcaceae,pink
59,g__Porphyromonas,3,f__Porphyromonadaceae,gray
60,g__Alistipes,3,f__Rikenellaceae,navy
61,g__Faecalibacterium,3,f__Ruminococcaceae,orange
62,g__Gemmiger,3,f__Ruminococcaceae,orange
63,g__Ruminococcus_C,3,f__Ruminococcaceae,orange
64,g__UBA1394,3,f__Ruminococcaceae,orange
65,g__QAMM01,3,f__Ruminococcaceae,orange
66,g__UBA3818,3,f__Ruminococcaceae,orange
67,g__TM7x,3,f__Saccharimonadaceae,silver
68,g__Parabacteroides,3,f__Tannerellaceae,teal
69,g__F0422,3,f__Veillonellaceae,darkolivegreen
