,genus,length,family,color
0,g__Acutalibacter,3,f__Acutalibacteraceae,purple
1,g__UBA1417,3,f__Acutalibacteraceae,purple
2,g__CAG-145,3,f__Anaerovoracaceae,green
3,g__Bacteroides_A,3,f__Bacteroidaceae,orange
4,g__Prevotella,3,f__Bacteroidaceae,orange
5,g__CAG-273,3,f__CAG-508,gray
6,g__CAG-631,3,f__CAG-631,black
7,g__CAG-1427,3,f__Eggerthellaceae,brown
8,g__Eubacterium_E,3,f__Lachnospiraceae,red
9,g__Blautia_A,3,f__Lachnospiraceae,red
10,g__CAG-632,3,f__Lachnospiraceae,red
11,g__Dorea,3,f__Lachnospiraceae,red
12,g__CAG-411,3,f__Lachnospiraceae,red
13,g__Anaerostipes,3,f__Lachnospiraceae,red
14,g__Lachnospira,3,f__Lachnospiraceae,red
15,g__Hungatella_A,3,f__Lachnospiraceae,red
16,g__Methanobrevibacter_A,3,f__Methanobacteriaceae,white
17,g__UBA5446,3,f__Oscillospiraceae,pink
18,g__CAG-83,3,f__Oscillospiraceae,pink
19,g__CAG-110,3,f__Oscillospiraceae,pink
20,g__UBA1777,3,f__Oscillospiraceae,pink
21,g__Gemmiger,3,f__Ruminococcaceae,blue
22,g__Faecalibacterium,3,f__Ruminococcaceae,blue
23,g__QAMM01,3,f__Ruminococcaceae,blue
24,g__Bittarella,3,f__Ruminococcaceae,blue
25,g__Lactococcus,3,f__Streptococcaceae,yellow
