,genus,length,family,color
0,Ruminococcus_E,4,f__Acutalibacteraceae,cyan
1,Bacteroides,4,f__Bacteroidaceae,red
2,Bacteroides_A,4,f__Bacteroidaceae,red
3,Bacteroides_B,4,f__Bacteroidaceae,red
4,Prevotella,4,f__Bacteroidaceae,red
5,Paraprevotella,4,f__Bacteroidaceae,red
6,Coprobacter,4,f__Coprobacteraceae,silver
7,Collinsella,4,f__Coriobacteriaceae,coral
8,Pseudescherichia,4,f__Enterobacteriaceae,pink
9,Citrobacter,4,f__Enterobacteriaceae,pink
10,Escherichia,4,f__Enterobacteriaceae,pink
11,Klebsiella,4,f__Enterobacteriaceae,pink
12,Enterobacter,4,f__Enterobacteriaceae,pink
13,Atlantibacter,4,f__Enterobacteriaceae,pink
14,Pantoea,4,f__Enterobacteriaceae,pink
15,Providencia,4,f__Enterobacteriaceae,pink
16,Kluyvera,4,f__Enterobacteriaceae,pink
17,Metakosakonia,4,f__Enterobacteriaceae,pink
18,Salmonella,4,f__Enterobacteriaceae,pink
19,Pluralibacter,4,f__Enterobacteriaceae,pink
20,Nissabacter,4,f__Enterobacteriaceae,pink
21,Citrobacter_B,4,f__Enterobacteriaceae,pink
22,Klebsiella_A,4,f__Enterobacteriaceae,pink
23,Solobacterium,4,f__Erysipelotrichaceae,maroon
24,Gemella,4,f__Gemellaceae,gold
25,Anaerococcus,4,f__Helcococcaceae,navy
26,Clostridium_M,4,f__Lachnospiraceae,black
27,Faecalicatena,4,f__Lachnospiraceae,black
28,Blautia_A,4,f__Lachnospiraceae,black
29,Agathobacter,4,f__Lachnospiraceae,black
30,Roseburia,4,f__Lachnospiraceae,black
31,Lachnospira,4,f__Lachnospiraceae,black
32,Lachnoclostridium,4,f__Lachnospiraceae,black
33,UBA5416,4,f__Lachnospiraceae,black
34,Anaerostipes,4,f__Lachnospiraceae,black
35,Blautia,4,f__Lachnospiraceae,black
36,TF01-11,4,f__Lachnospiraceae,black
37,Leptotrichia,4,f__Leptotrichiaceae,orange
38,Rothia,4,f__Micrococcaceae,teal
39,CAG-485,4,f__Muribaculaceae,violet
40,Ureaplasma,4,f__Mycoplasmoidaceae,gray
41,Oscillibacter,4,f__Oscillospiraceae,darkolivegreen
42,Paenibacillus,4,f__Paenibacillaceae,turquoise
43,Peptoniphilus_B,4,f__Peptoniphilaceae,indigo
44,Kurthia,4,f__Planococcaceae,blue
45,Porphyromonas,4,f__Porphyromonadaceae,purple
46,Alistipes,4,f__Rikenellaceae,brown
47,Faecalibacterium,4,f__Ruminococcaceae,magenta
48,Gemmiger,4,f__Ruminococcaceae,magenta
49,Neobitarella,4,f__Ruminococcaceae,magenta
50,TM7x,4,f__Saccharimonadaceae,yellow
51,Parabacteroides,4,f__Tannerellaceae,green
52,F0422,4,f__Veillonellaceae,white
53,Vibrio,4,f__Vibrionaceae,lavender
