chrom,mid
Leptotrichia,2
Pseudescherichia,2
TM7x,2
Ureaplasma,2
Escherichia,2
Porphyromonas,2
TM7x,2
Ureaplasma,2
Klebsiella,2
Escherichia,2
Ureaplasma,2
F0422,2
Faecalicatena,2
Escherichia,2
Pantoea,2
Oscillibacter,2
Prevotella,2
Ureaplasma,2
Porphyromonas,2
Leptotrichia,2
Ureaplasma,2
Oscillibacter,2
Rothia,2
Providencia,2
Kluyvera,2
Metakosakonia,2
Kluyvera,2
Solobacterium,2
Escherichia,2
F0422,2
Rothia,2
Ureaplasma,2
Solobacterium,2
Porphyromonas,2
Leptotrichia,2
Leptotrichia,2
Salmonella,2
Solobacterium,2
Paenibacillus,2
Rothia,2
Pluralibacter,2
Pseudescherichia,2
Pseudescherichia,2
Nissabacter,2
Porphyromonas,2
Solobacterium,2
Vibrio,2
Rothia,2
Escherichia,2
Rothia,2
Prevotella,2
Pseudescherichia,2
Escherichia,2
TM7x,2
Escherichia,2
Klebsiella_A,2
