chrom,mid
Citrobacter_B,2
Ruminococcus_A,2
Lachnospira,2
Eubacterium_E,2
Anaerostipes,2
Fusobacterium_B,2
Eubacterium_E,2
Eubacterium_E,2
Gemmiger,2
Ruminococcus,2
Blautia_A,2
Fusicatenibacter,2
COE1,2
Marvinbryantia,2
Marvinbryantia,2
Eubacterium_E,2
CAG-269,2
Eubacterium_E,2
Collinsella,2
Eubacterium_J,2
Adlercreutzia,2
Ruminococcus_A,2
Agathobaculum,2
CAG-776,2
UBA7160,2
GCA-900066135,2
Robinsoniella,2
Ruminococcus_C,2
KLE1615,2
TF01-11,2
Eubacterium_E,2
Fusicatenibacter,2
Fusicatenibacter,2
