chrom,mid
g__Roseburia,1.5
g__TF01-11,1.5
g__Collinsella,1.5
g__Faecalicatena,1.5
g__COE1,1.5
g__Roseburia,1.5
g__Gemmiger,1.5
g__Gemmiger,1.5
g__Ruminococcus_C,1.5
g__Roseburia,1.5
g__Lachnospira,1.5
g__Agathobacter,1.5
g__Coprococcus,1.5
g__Lawsonibacter,1.5
g__UBA1777,1.5
g__UBA1394,1.5
g__Gemmiger,1.5
g__Faecalibacterium,1.5
g__Eubacterium_E,1.5
g__Ruminococcus_E,1.5
g__Ruminococcus_E,1.5
g__ER4,1.5
g__Parabacteroides,1.5
g__Fusicatenibacter,1.5
g__Prevotella,1.5
g__CAG-127,1.5
g__UBA2882,1.5
g__UBA7185,1.5
g__Faecalibacterium,1.5
g__Faecalibacterium,1.5
g__Roseburia,1.5
g__Roseburia,1.5
g__Prevotellamassilia,1.5
g__Roseburia,1.5
g__Agathobacter,1.5
g__Lachnospira,1.5
g__Eubacterium_I,1.5
g__Agathobaculum,1.5
g__Fusicatenibacter,1.5
g__Blautia,1.5
g__QAMM01,1.5
g__Odoribacter,1.5
g__Lachnobacterium,1.5
g__Coprococcus_A,1.5
g__Marvinbryantia,1.5
g__CAG-269,1.5
g__Eubacterium_I,1.5
g__Blautia_A,1.5
g__CAG-110,1.5
g__Lachnospira,1.5
g__Gemmiger,1.5
g__Coprococcus,1.5
g__Alistipes,1.5
g__CAG-95,1.5
g__Faecalibacterium,1.5
g__Faecalicatena,1.5
g__Erysipelatoclostridium,1.5
g__Coprobacter,1.5
g__TF01-11,1.5
g__Paraprevotella,1.5
g__ER4,1.5
g__Paraprevotella,1.5
g__Fusicatenibacter,1.5
g__CAG-95,1.5
g__Faecalicatena,1.5
g__TF01-11,1.5
g__Clostridium_M,1.5
g__Roseburia,1.5
g__Eubacterium_R,1.5
g__Coprococcus,1.5
g__Roseburia,1.5
g__Faecalicatena,1.5
g__Hungatella_A,1.5
g__Faecalibacterium,1.5
g__Oscillibacter,1.5
g__Fusicatenibacter,1.5
g__CAG-81,1.5
g__Gemmiger,1.5
g__Clostridium_Q,1.5
g__Blautia_A,1.5
g__Roseburia,1.5
g__UBA7160,1.5
g__Lachnospira,1.5
g__Prevotella,1.5
g__Coprococcus,1.5
g__Faecalibacterium,1.5
g__CAG-411,1.5
g__UBA3818,1.5
