genus,start,end,value1
S5-A14a,0,4,2
Prevotella,0,4,4
Bacteroides,0,4,4
F0040,0,4,1
Paraprevotella,0,4,1
Agathobaculum,0,4,2
CAG-776,0,4,1
PeH17,0,4,1
Phil1,0,4,1
CAG-269,0,4,1
CAG-631,0,4,1
CAG-349,0,4,1
Campylobacter_B,0,4,2
Coprobacter,0,4,2
Collinsella,0,4,1
Adlercreutzia,0,4,3
Citrobacter_B,0,4,1
Pseudescherichia,0,4,2
Escherichia,0,4,3
Solobacterium,0,4,3
Absiella,0,4,1
Fusobacterium,0,4,2
Fusobacterium_B,0,4,1
CAG-484,0,4,1
Gemella,0,4,3
Parvimonas,0,4,2
Anaerococcus,0,4,1
Ruminococcus_A,0,4,3
COE1,0,4,3
Lachnospira,0,4,1
Eubacterium_E,0,4,9
Anaerostipes,0,4,6
Blautia_A,0,4,5
Eisenbergiella,0,4,2
Fusicatenibacter,0,4,6
Agathobacter,0,4,1
Marvinbryantia,0,4,2
CAG-632,0,4,1
Eubacterium_J,0,4,1
UBA7160,0,4,1
GCA-900066135,0,4,1
Robinsoniella,0,4,1
Clostridium_Q,0,4,1
KLE1615,0,4,1
TF01-11,0,4,1
Leptotrichia,0,4,7
Odoribacter,0,4,6
Butyricimonas,0,4,3
Rothia,0,4,3
Muribaculum,0,4,1
Ureaplasma,0,4,3
CAG-83,0,4,6
UBA5446,0,4,3
CAG-110,0,4,3
Oscillibacter,0,4,4
ER4,0,4,2
CAG-170,0,4,2
UBA1777,0,4,2
Peptoniphilus_A,0,4,1
Peptostreptococcus,0,4,3
Kurthia,0,4,5
Porphyromonas,0,4,10
Gemmiger,0,4,1
Ruminococcus,0,4,1
Ruthenibacterium,0,4,1
Ruminococcus_C,0,4,1
Neobitarella,0,4,1
UBA1394,0,4,1
TM7x,0,4,2
Parabacteroides,0,4,1
CAG-41,0,4,1
F0422,0,4,1
Veillonella,0,4,1
