genus,start,end,value1
g__Ruminococcus_E,0,3,3
g__CAG-217,0,3,1
g__Eubacterium_R,0,3,1
g__UBA1417,0,3,2
g__Prevotella,0,3,3
g__Prevotellamassilia,0,3,1
g__Bacteroides_A,0,3,2
g__Bacteroides_B,0,3,2
g__Bacteroides,0,3,1
g__Paraprevotella,0,3,3
g__Agathobaculum,0,3,5
g__CAG-390,0,3,1
g__CAG-269,0,3,1
g__Coprobacter,0,3,2
g__Collinsella,0,3,13
g__Pseudescherichia,0,3,1
g__Erysipelatoclostridium,0,3,2
g__Absiella,0,3,1
g__Anaerococcus,0,3,1
g__Blautia_A,0,3,13
g__Roseburia,0,3,12
g__Agathobacter,0,3,15
g__TF01-11,0,3,3
g__Blautia,0,3,3
g__Faecalicatena,0,3,6
g__COE1,0,3,2
g__Clostridium_M,0,3,3
g__Lachnospira,0,3,5
g__Acetatifactor,0,3,6
g__Coprococcus,0,3,6
g__CAG-81,0,3,3
g__Eubacterium_E,0,3,1
g__Eubacterium_I,0,3,3
g__Fusicatenibacter,0,3,5
g__CAG-127,0,3,2
g__UBA2882,0,3,1
g__Lachnobacterium,0,3,1
g__Coprococcus_A,0,3,1
g__Marvinbryantia,0,3,1
g__CAG-95,0,3,2
g__Dorea,0,3,1
g__Hungatella_A,0,3,1
g__Clostridium_Q,0,3,1
g__Anaerostipes,0,3,1
g__UBA7160,0,3,1
g__CAG-411,0,3,1
g__Leptotrichia,0,3,2
g__Odoribacter,0,3,1
g__Rothia,0,3,1
g__Ureaplasma,0,3,1
g__ER4,0,3,4
g__Lawsonibacter,0,3,1
g__UBA1777,0,3,1
g__CAG-83,0,3,2
g__CAG-110,0,3,2
g__Flavonifractor,0,3,1
g__Oscillibacter,0,3,1
g__UBA7185,0,3,1
g__Kurthia,0,3,2
g__Porphyromonas,0,3,1
g__Alistipes,0,3,3
g__Faecalibacterium,0,3,12
g__Gemmiger,0,3,8
g__Ruminococcus_C,0,3,3
g__UBA1394,0,3,1
g__QAMM01,0,3,1
g__UBA3818,0,3,1
g__TM7x,0,3,1
g__Parabacteroides,0,3,2
g__F0422,0,3,1
