genus,start,end,value1
g__Acutalibacter,0,3,1
g__UBA1417,0,3,2
g__CAG-145,0,3,1
g__Bacteroides_A,0,3,1
g__Prevotella,0,3,1
g__CAG-273,0,3,2
g__CAG-631,0,3,1
g__CAG-1427,0,3,2
g__Eubacterium_E,0,3,4
g__Blautia_A,0,3,3
g__CAG-632,0,3,1
g__Dorea,0,3,2
g__CAG-411,0,3,1
g__Anaerostipes,0,3,2
g__Lachnospira,0,3,1
g__Hungatella_A,0,3,1
g__Methanobrevibacter_A,0,3,1
g__UBA5446,0,3,3
g__CAG-83,0,3,2
g__CAG-110,0,3,1
g__UBA1777,0,3,1
g__Gemmiger,0,3,6
g__Faecalibacterium,0,3,1
g__QAMM01,0,3,1
g__Bittarella,0,3,1
g__Lactococcus,0,3,1
