,pathway_name,pathway_id,p_value,gene_num,fold,first_class,second_class,p.adj
208,Starch and sucrose metabolism,map00500,1.9447637392720805e-31,527,0.6159485143826495,Metabolism,Carbohydrate metabolism,7.292864022270302e-29
109,Biosynthesis of amino acids,map01230,2.302437901265329e-29,2131,0.7807866120708854,Other,Other,8.634142129744983e-27
117,"Valine, leucine and isoleucine biosynthesis",map00290,4.345759693022716e-21,81,0.4000445918007246,Metabolism,Amino acid metabolism,1.6296598848835185e-18
166,Lipoic acid metabolism,map00785,3.488302509626996e-20,201,2.1387022985730404,Metabolism,Metabolism of cofactors and vitamins,1.3081134411101235e-17
42,Butanoate metabolism,map00650,1.0076441024867998e-19,548,1.540257656711512,Metabolism,Carbohydrate metabolism,3.7786653843254993e-17
159,Peptidoglycan biosynthesis,map00550,4.517190911133941e-19,423,0.6581827771166624,Metabolism,Glycan biosynthesis and metabolism,1.693946591675228e-16
288,2-Oxocarboxylic acid metabolism,map01210,6.643450728755694e-18,261,0.603165368497349,Other,Other,2.491294023283385e-15
258,Lysine degradation,map00310,1.606971984370031e-17,171,2.1459125445073184,Metabolism,Amino acid metabolism,6.026144941387616e-15
330,Biosynthesis of cofactors,map01240,9.317313034623977e-16,2957,1.1750101165230826,Other,Other,3.4939923879839913e-13
267,Galactose metabolism,map00052,1.7109274358790475e-15,436,0.6900145236957083,Metabolism,Carbohydrate metabolism,6.415977884546428e-13
72,Carbon metabolism,map01200,4.04048759018102e-15,2052,1.2072579245178432,Other,Other,1.5151828463178825e-12
144,Ribosome,map03010,3.639203293405061e-14,792,0.7649424687833661,Genetic Information Processing,Translation,1.364701235026898e-11
51,Pertussis,map05133,3.787530610809894e-14,119,2.2715342356127843,Human Diseases,Infectious disease: bacterial,1.4203239790537102e-11
145,Glutathione metabolism,map00480,5.118863130250471e-14,176,1.9211609383115487,Metabolism,Metabolism of other amino acids,1.9195736738439264e-11
244,Citrate cycle (TCA cycle),map00020,7.511972835691286e-14,493,1.4485368056917174,Metabolism,Carbohydrate metabolism,2.816989813384232e-11
266,"Valine, leucine and isoleucine degradation",map00280,5.855182463521977e-13,265,1.6408152594332865,Metabolism,Amino acid metabolism,2.1956934238207415e-10
248,Porphyrin metabolism,map00860,3.0177339059885e-11,596,1.344507099675261,Metabolism,Metabolism of cofactors and vitamins,1.1316502147456875e-08
184,Bacterial invasion of epithelial cells,map05100,1.6158339386790102e-10,83,2.2857181389076198,Human Diseases,Infectious disease: bacterial,6.059377270046288e-08
45,Degradation of flavonoids,map00946,2.532377794948266e-10,38,0.4036322642101255,Metabolism,Biosynthesis of other secondary metabolites,9.496416731055998e-08
