,genus_pair,p_value,oddsratio,gp_num,CRC,control,p.adj,Escherichia
119,g__Fusobacterium&g__Fusobacterium,1.4612079698771678e-22,inf,40,0.0963855421686747,0.0,2.377969850178103e-18,No
72,g__Porphyromonas&g__Porphyromonas,4.959358444151595e-22,23.071428571428573,51,0.12289156626506025,0.006036217303822937,8.070859932012307e-18,No
128,g__Porphyromonas&g__Prevotella,3.6156875575405844e-19,13.786813186813188,51,0.12289156626506025,0.01006036217303823,5.884169931141547e-15,No
877,g__Porphyromonas&g__Solobacterium,7.116639614426301e-16,8.564217032967033,51,0.12289156626506025,0.01609657947686117,1.1581619308517362e-11,No
112,g__Parvimonas&g__Parvimonas,5.131294050950783e-14,69.10051546391753,27,0.06506024096385542,0.001006036217303823,8.350667938517305e-10,No
559,g__Campylobacter_B&g__Citrobacter_B,9.414966766568307e-12,0.0,0,0.0,0.07243460764587525,1.5321916915913263e-07,No
143,g__CAG-83&g__CAG-83,1.0654094795365994e-11,2.269277845777234,206,0.4963855421686747,0.3028169014084507,1.7338473869978619e-07,No
6030,g__UBA5446&g__UBA5446,2.1480984265077914e-11,11.3828125,31,0.0746987951807229,0.007042253521126761,3.4958153792987796e-07,No
228,g__Peptostreptococcus&g__Peptostreptococcus,2.349611023263841e-11,55.587786259541986,22,0.05301204819277108,0.001006036217303823,3.823756979259575e-07,No
114,g__CAG-110&g__CAG-83,3.7029634838811614e-11,2.3952333664349554,150,0.3614457831325301,0.19114688128772636,6.026202773668202e-07,No
876,g__Porphyromonas&g__Ureaplasma,4.83385786586193e-11,12.3713298791019,29,0.06987951807228916,0.006036217303822937,7.866620290903705e-07,No
632,g__Ruminococcus_A&g__Ruminococcus_A,8.689581386715939e-11,0.25472199268091134,21,0.05060240963855422,0.17303822937625754,1.4141424748741518e-06,No
1962,g__COE1&g__Lachnospira,1.4179932390366346e-10,0.2525545218850084,20,0.04819277108433735,0.16700201207243462,2.307642197208219e-06,No
1116,g__Absiella&g__Eubacterium_E,1.7379763554860952e-10,0.29067332474226804,27,0.06506024096385542,0.193158953722334,2.8283827209180714e-06,No
2891,g__Odoribacter&g__Odoribacter,1.823191149762316e-10,4.263602879624979,53,0.12771084337349398,0.03319919517102616,2.967061277123193e-06,No
107,g__Bacteroides&g__Gemella,6.252070991747208e-10,2.8365494978479195,87,0.20963855421686747,0.08551307847082495,1.0174620331969407e-05,No
760,g__Oscillibacter&g__Oscillibacter,6.353545736076748e-10,2.5997596153846154,103,0.24819277108433735,0.11267605633802817,1.03397603308913e-05,No
25,g__Bacteroides&g__Odoribacter,8.117681156143412e-10,2.094484629294756,205,0.4939759036144578,0.317907444668008,1.3210714313507789e-05,No
256,g__Anaerostipes&g__Anaerostipes,1.838794389806064e-09,0.44996876130347574,88,0.21204819277108433,0.37424547283702214,2.9924539899703883e-05,No
1117,g__Eubacterium_E&g__Fusobacterium_B,2.0076180293097995e-09,0.0,0,0.0,0.05734406438631791,3.2671975808987676e-05,No
1012,g__Leptotrichia&g__TM7x,2.061796346444292e-09,7.214251893939394,31,0.0746987951807229,0.011066398390342052,3.355367374203441e-05,No
175,g__Gemella&g__Gemella,2.607024449571586e-09,inf,16,0.03855421686746988,0.0,4.242671589232799e-05,No
