,genus_pair,p_value,oddsratio,gp_num,CRC,control,p.adj
3976,s__Prevotella intermedia&s__Prevotella nigrescens,9.205293373079006e-20,inf,35,0.08433734939759036,0.0,2.222526031996195e-15
1290,s__Agathobacter faecis&s__Tyzzerella sp000209385,2.5817431831202977e-15,0.0,0,0.0,0.09356136820925554,6.233360741325646e-11
385,s__Campylobacter_B ureolyticus&s__Citrobacter_B koseri,9.414966766568307e-12,0.0,0,0.0,0.07243460764587525,2.2731495761202521e-07
478,s__Ruminococcus_A sp000437095&s__Ruminococcus_A sp003011855,3.992601312406236e-11,0.2393209200438116,19,0.04578313253012048,0.16700201207243462,9.639736608673617e-07
2427,s__Porphyromonas somerae_A&s__Ureaplasma parvum,4.83385786586193e-11,12.3713298791019,29,0.06987951807228916,0.006036217303822937,1.1670866431337045e-06
884,s__COE1 sp001916965&s__Lachnospira sp000437735,1.0306336573220034e-10,0.16145320197044336,9,0.021686746987951807,0.12072434607645875,2.488361902238245e-06
609,s__Bacteroides fragilis&s__Bacteroides fragilis_A,2.2707546120565198e-10,2.710120437507681,99,0.2385542168674699,0.10362173038229376,5.482509935349261e-06
223,s__Anaerostipes hadrus&s__Anaerostipes hadrus_A,2.487540352459238e-10,0.4101140918902251,70,0.1686746987951807,0.33098591549295775,6.005917426977585e-06
716,s__Odoribacter splanchnicus&s__Prevotella sp000436595,2.973565160786791e-10,7.302712160979877,34,0.0819277108433735,0.012072434607645875,7.179375724203628e-06
2363,s__Porphyromonas somerae_A&s__Prevotella timonensis,6.638787638145348e-10,26.436548223350254,21,0.05060240963855422,0.002012072434607646,1.6028688873538128e-05
1291,s__COE1 sp001916965&s__Gemmiger formicilis,1.0707467752840007e-09,0.17456896551724138,9,0.021686746987951807,0.11267605633802817,2.5852110142456915e-05
5419,s__Prevotella disiens&s__Prevotella nigrescens,2.9597715509849447e-09,45.022670025188916,18,0.043373493975903614,0.001006036217303823,7.14607243269805e-05
696,s__Kurthia massiliensis&s__Leptotrichia wadei,7.4057889033913164e-09,3.4498931139470104,56,0.13493975903614458,0.043259557344064385,0.00017880536728347995
1339,s__Faecalibacterium prausnitzii_I&s__Faecalibacterium sp003449675,8.762043623099887e-09,0.2311393850420031,13,0.03132530120481928,0.1227364185110664,0.00021155078123612366
6900,s__Fusobacterium animalis&s__Fusobacterium vincentii,9.085480206770272e-09,inf,15,0.03614457831325301,0.0,0.00021935983411226146
617,s__Anaerostipes hadrus&s__Anaerostipes sp900066705,1.1214248739724987e-08,0.42472111473561275,59,0.14216867469879518,0.2806841046277666,0.00027075682157192007
8663,s__Fusobacterium animalis&s__Fusobacterium polymorphum,3.160659573172519e-08,inf,14,0.033734939759036145,0.0,0.000763109647346773
417,s__CAG-632 sp002406015&s__Eubacterium_E hallii,5.2522514114816676e-08,0.13932926829268294,5,0.012048192771084338,0.08048289738430583,0.0012681035807881338
4805,s__Bacteroides xylanisolvens&s__Odoribacter splanchnicus,5.842666382999445e-08,4.535273368606702,37,0.0891566265060241,0.02112676056338028,0.0014106533715113859
2769,s__Faecalibacterium prausnitzii_H&s__Faecalibacterium sp003449675,6.126433416362272e-08,0.3149787955894826,22,0.05301204819277108,0.15090543259557343,0.001479166084046507
2368,s__Kurthia massiliensis&s__Rothia mucilaginosa_B,6.691036444377489e-08,10.54263959390863,21,0.05060240963855422,0.005030181086519115,0.0016154838391305008
2393,s__Leptotrichia wadei&s__Pseudescherichia sp002298805,6.805246784627695e-08,21.185929648241206,17,0.04096385542168675,0.002012072434607646,0.0016430587836805107
4884,s__Campylobacter_B ureolyticus&s__Kurthia massiliensis,6.805246784627695e-08,21.185929648241206,17,0.04096385542168675,0.002012072434607646,0.0016430587836805107
4150,s__Bacteroides uniformis&s__Odoribacter splanchnicus,7.114834956802529e-08,3.684201373793583,44,0.10602409638554217,0.03118712273641851,0.0017178057519704026
769,s__Leptotrichia wadei&s__Porphyromonas somerae_A,9.419419832847514e-08,3.9712820512820515,40,0.0963855421686747,0.026156941649899398,0.0022742247244427038
2115,s__Coprococcus_A catus&s__Eubacterium_I ramulus_A,9.972300820238137e-08,0.20499212838352546,9,0.021686746987951807,0.09758551307847083,0.002407712310038296
6918,s__Prevotella buccae&s__Prevotella nigrescens,1.0975822796370972e-07,inf,13,0.03132530120481928,0.0,0.0026500026559558077
12836,s__Prevotella buccae&s__Prevotella intermedia,1.0975822796370972e-07,inf,13,0.03132530120481928,0.0,0.0026500026559558077
5911,s__Prevotella disiens&s__Prevotella intermedia,1.0975822796370972e-07,inf,13,0.03132530120481928,0.0,0.0026500026559558077
8645,s__Fusobacterium periodonticum_D&s__Fusobacterium sp000235465,1.0975822796370972e-07,inf,13,0.03132530120481928,0.0,0.0026500026559558077
795,s__Agathobacter rectalis&s__CAG-269 sp000435535,1.1120091003905829e-07,0.3565395789032316,29,0.06987951807228916,0.17404426559356137,0.002684834771983023
251,s__Eubacterium_E hallii&s__Eubacterium_E hallii_A,1.3622719956141262e-07,0.4923780487804878,87,0.20963855421686747,0.3501006036217304,0.0032890695062107464
2428,s__Porphyromonas somerae_A&s__Pseudescherichia sp002298805,1.527858487853803e-07,11.875,19,0.04578313253012048,0.004024144869215292,0.0036888615330742222
1241,s__Anaerostipes hadrus&s__Eubacterium_E hallii_A,1.6486214354971565e-07,0.22321985284948248,10,0.024096385542168676,0.09959758551307847,0.003980431593864335
815,s__Faecalibacterium prausnitzii_C&s__Faecalibacterium prausnitzii_D,1.7221387949481015e-07,0.34581423940985806,26,0.06265060240963856,0.1619718309859155,0.0041579319065226964
4908,s__Leptotrichia wadei&s__Ureaplasma parvum,1.862401074425732e-07,5.259067357512953,29,0.06987951807228916,0.014084507042253521,0.0044965811540934875
398,s__Blautia_A massiliensis&s__Blautia_A sp000433815,2.9661485559468536e-07,0.07814978709192619,2,0.004819277108433735,0.05835010060362173,0.007161469073478083
6950,s__Prevotella intermedia&s__Prevotella oris,3.804770334136066e-07,inf,12,0.02891566265060241,0.0,0.009186237494738118
5159,s__Bacteroides fragilis&s__Odoribacter splanchnicus,4.429682710627779e-07,11.221662468513854,18,0.043373493975903614,0.004024144869215292,0.010695025936539709
3723,s__Bacteroides pyogenes&s__Bacteroides thetaiotaomicron,5.476606009662334e-07,3.1274386845039017,47,0.11325301204819277,0.039235412474849095,0.01322271754972874
3664,s__CAG-882 sp003486385&s__Clostridium_Q saccharolyticum,6.825566008547597e-07,0.0,0,0.0,0.04124748490945674,0.01647964657103732
268,s__Bacteroides thetaiotaomicron&s__Bacteroides xylanisolvens,7.587614963603611e-07,2.398250728862974,72,0.17349397590361446,0.08048289738430583,0.018319537568124558
936,s__Bacteroides caccae&s__Gemella morbillorum,8.423313022416221e-07,2.5903043557499545,61,0.14698795180722893,0.06237424547283702,0.020337246961321723
1307,s__Blautia_A massiliensis&s__Blautia_A sp900066335,8.688044877637415e-07,0.3606837606837607,25,0.060240963855421686,0.15090543259557343,0.020976415552567775
399,s__Dorea formicigenerans&s__Dorea longicatena_B,8.936324682841961e-07,0.3414758269720102,22,0.05301204819277108,0.14084507042253522,0.02157586231425363
