,Bases,Group,Cohort
0,6512170482.0,control,ZellerG_2014
1,3298640533.0,control,ZellerG_2014
2,7846466205.0,control,ZellerG_2014
3,907920835.0,CRC,ZellerG_2014
4,6190369807.0,control,ZellerG_2014
5,3733212784.0,control,ZellerG_2014
6,5403961311.0,control,ZellerG_2014
7,5175146179.0,control,ZellerG_2014
8,2826425982.0,CRC,ZellerG_2014
9,5667757614.0,control,ZellerG_2014
10,5817465348.0,control,ZellerG_2014
11,5739043252.0,control,ZellerG_2014
12,6488989235.0,control,ZellerG_2014
13,5152050233.0,control,ZellerG_2014
14,5021042144.0,CRC,ZellerG_2014
15,5296232853.0,control,ZellerG_2014
16,8334068161.0,control,ZellerG_2014
17,3229069072.0,control,ZellerG_2014
18,497672074.0,CRC,ZellerG_2014
19,3848992468.0,CRC,ZellerG_2014
20,5363998665.0,control,ZellerG_2014
21,4256129777.0,CRC,ZellerG_2014
22,3631882002.0,CRC,ZellerG_2014
23,3698892069.0,control,ZellerG_2014
24,4547422592.0,control,ZellerG_2014
25,6621569027.0,control,ZellerG_2014
26,7453752248.0,control,ZellerG_2014
27,5754783062.0,CRC,ZellerG_2014
28,4611051584.0,control,ZellerG_2014
29,6704190994.0,control,ZellerG_2014
30,4306955793.0,CRC,ZellerG_2014
31,7567990129.0,CRC,ZellerG_2014
32,8757847513.0,CRC,ZellerG_2014
33,5871764899.0,control,ZellerG_2014
34,11694061283.0,CRC,ZellerG_2014
35,3405411697.0,control,ZellerG_2014
36,7788532840.0,control,ZellerG_2014
37,3986872657.0,control,ZellerG_2014
38,7382792447.0,control,ZellerG_2014
39,4440407460.0,control,ZellerG_2014
40,5678829952.0,CRC,ZellerG_2014
41,3943928884.0,CRC,ZellerG_2014
42,6044922649.0,control,ZellerG_2014
43,4449210952.0,CRC,ZellerG_2014
44,5731938297.0,control,ZellerG_2014
45,3608044435.0,control,ZellerG_2014
46,7211705897.0,CRC,ZellerG_2014
47,4411570203.0,CRC,ZellerG_2014
48,7602125134.0,CRC,ZellerG_2014
49,3791242240.0,CRC,ZellerG_2014
50,4694864212.0,CRC,ZellerG_2014
51,6490271467.0,control,ZellerG_2014
52,6267951889.0,control,ZellerG_2014
53,4076256445.0,CRC,ZellerG_2014
54,2643933782.0,control,ZellerG_2014
55,7119073064.0,control,ZellerG_2014
56,3427270177.0,CRC,ZellerG_2014
57,1015859086.0,CRC,ZellerG_2014
58,3264825557.0,CRC,ZellerG_2014
59,4358945393.0,control,ZellerG_2014
60,2924500773.0,CRC,ZellerG_2014
61,5408998961.0,control,ZellerG_2014
62,4488120560.0,CRC,ZellerG_2014
63,6959611519.0,control,ZellerG_2014
64,5016717280.0,control,ZellerG_2014
65,4655519051.0,CRC,ZellerG_2014
66,3331840282.0,CRC,ZellerG_2014
67,3182274234.0,CRC,ZellerG_2014
