,Proportion,Order,Group,level
0,0.4808757491533322,Bacteroidota,Inter,1
1,0.5191242508466678,Bacteroidota,Intra,1
2,0.41595195186917017,Firmicutes_A,Inter,1
3,0.5840480481308299,Firmicutes_A,Intra,1
4,0.9444234360621716,Firmicutes_C,Inter,1
5,0.05557656393782838,Firmicutes_C,Intra,1
6,0.8895597532619766,Proteobacteria,Inter,1
7,0.11044024673802341,Proteobacteria,Intra,1
8,0.8483335268842178,Firmicutes,Inter,1
9,0.15166647311578213,Firmicutes,Intra,1
10,0.8478459536349633,Actinobacteriota,Inter,1
11,0.15215404636503665,Actinobacteriota,Intra,1
12,0.9778964484099144,Desulfobacterota_A,Inter,1
13,0.02210355159008559,Desulfobacterota_A,Intra,1
14,0.8951879238960578,Verrucomicrobiota,Inter,1
15,0.10481207610394214,Verrucomicrobiota,Intra,1
16,0.9661710923835268,Fusobacteriota,Inter,1
17,0.033828907616473204,Fusobacteriota,Intra,1
18,0.9793577981651376,Cyanobacteria,Inter,1
19,0.020642201834862386,Cyanobacteria,Intra,1
20,0.9574068641830449,Euryarchaeota,Inter,1
21,0.04259313581695512,Euryarchaeota,Intra,1
22,0.9883773928896992,Firmicutes_B,Inter,1
23,0.01162260711030082,Firmicutes_B,Intra,1
24,0.9692667446133288,Synergistota,Inter,1
25,0.03073325538667112,Synergistota,Intra,1
26,0.9842229818564291,Campylobacterota,Inter,1
27,0.015777018143570864,Campylobacterota,Intra,1
28,0.9848197343453511,Spirochaetota,Inter,1
29,0.015180265654648957,Spirochaetota,Intra,1
30,0.967741935483871,Thermoplasmatota,Inter,1
31,0.03225806451612903,Thermoplasmatota,Intra,1
32,1.0,Firmicutes_I,Inter,1
33,0.0,Firmicutes_I,Intra,1
34,1.0,Eremiobacterota,Inter,1
35,0.0,Eremiobacterota,Intra,1
36,0.9700374531835206,Patescibacteria,Inter,1
37,0.0299625468164794,Patescibacteria,Intra,1
38,0.92,Elusimicrobiota,Inter,1
39,0.08,Elusimicrobiota,Intra,1
40,1.0,Myxococcota,Inter,1
41,0.0,Myxococcota,Intra,1
42,1.0,Firmicutes_G,Inter,1
43,0.0,Firmicutes_G,Intra,1
44,1.0,Fibrobacterota,Inter,1
45,0.0,Fibrobacterota,Intra,1
46,0.4808757491533322,Bacteroidia,Inter,2
47,0.5191242508466678,Bacteroidia,Intra,2
48,0.4159878837925775,Clostridia,Inter,2
49,0.5840121162074224,Clostridia,Intra,2
50,0.9444234360621716,Negativicutes,Inter,2
51,0.05557656393782838,Negativicutes,Intra,2
52,0.8889537911384009,Gammaproteobacteria,Inter,2
53,0.11104620886159915,Gammaproteobacteria,Intra,2
54,0.8483335268842178,Bacilli,Inter,2
55,0.15166647311578213,Bacilli,Intra,2
56,0.8968128836083112,Actinobacteria,Inter,2
57,0.10318711639168872,Actinobacteria,Intra,2
58,0.9778964484099144,Desulfovibrionia,Inter,2
59,0.02210355159008559,Desulfovibrionia,Intra,2
60,0.896443400119592,Verrucomicrobiae,Inter,2
61,0.10355659988040795,Verrucomicrobiae,Intra,2
62,0.9661710923835268,Fusobacteriia,Inter,2
63,0.033828907616473204,Fusobacteriia,Intra,2
64,0.828012219748356,Coriobacteriia,Inter,2
65,0.17198778025164396,Coriobacteriia,Intra,2
66,0.9793577981651376,Vampirovibrionia,Inter,2
67,0.020642201834862386,Vampirovibrionia,Intra,2
68,0.9574068641830449,Methanobacteria,Inter,2
69,0.04259313581695512,Methanobacteria,Intra,2
70,0.9369668555056326,Alphaproteobacteria,Inter,2
71,0.0630331444943674,Alphaproteobacteria,Intra,2
72,0.9877492193129954,Peptococcia,Inter,2
73,0.012250780687004564,Peptococcia,Intra,2
74,0.9692667446133288,Synergistia,Inter,2
75,0.03073325538667112,Synergistia,Intra,2
76,0.8751908396946565,Lentisphaeria,Inter,2
77,0.12480916030534352,Lentisphaeria,Intra,2
78,0.9842229818564291,Campylobacteria,Inter,2
79,0.015777018143570864,Campylobacteria,Intra,2
80,0.9749430523917996,Spirochaetia,Inter,2
81,0.025056947608200455,Spirochaetia,Intra,2
82,0.967741935483871,Thermoplasmata,Inter,2
83,0.03225806451612903,Thermoplasmata,Intra,2
84,0.9971550497866287,Brachyspirae,Inter,2
85,0.002844950213371266,Brachyspirae,Intra,2
86,1.0,Mahellia,Inter,2
87,0.0,Mahellia,Intra,2
88,1.0,Dehalobacteriia,Inter,2
89,0.0,Dehalobacteriia,Intra,2
90,1.0,Bacilli_A,Inter,2
91,0.0,Bacilli_A,Intra,2
92,1.0,UBP9,Inter,2
93,0.0,UBP9,Intra,2
94,1.0,Thermoanaerobacteria,Inter,2
95,0.0,Thermoanaerobacteria,Intra,2
96,0.9700374531835206,Saccharimonadia,Inter,2
97,0.0299625468164794,Saccharimonadia,Intra,2
98,1.0,Kiritimatiellae,Inter,2
99,0.0,Kiritimatiellae,Intra,2
100,0.92,Elusimicrobia,Inter,2
101,0.08,Elusimicrobia,Intra,2
102,1.0,Bradimonadia,Inter,2
103,0.0,Bradimonadia,Intra,2
104,1.0,SHA-98,Inter,2
105,0.0,SHA-98,Intra,2
106,0.48090677448478253,Bacteroidales,Inter,3
107,0.5190932255152174,Bacteroidales,Intra,3
108,0.6733749315127889,Lachnospirales,Inter,3
109,0.3266250684872111,Lachnospirales,Intra,3
110,0.6689358547300464,Oscillospirales,Inter,3
111,0.33106414526995365,Oscillospirales,Intra,3
112,0.8787254746656408,Christensenellales,Inter,3
113,0.12127452533435923,Christensenellales,Intra,3
114,0.8751582049242393,Enterobacterales,Inter,3
115,0.12484179507576068,Enterobacterales,Intra,3
116,0.943105828941566,Veillonellales,Inter,3
117,0.056894171058434,Veillonellales,Intra,3
