,Property,Value,Group,Cohort,Level
0,density,0.36363636363636365,control,ZellerG_2014,phylum
1,transitivity,0.2727272727272727,control,ZellerG_2014,phylum
2,algebraic_connectivity,0.0,control,ZellerG_2014,phylum
3,assortativity,-0.45353867451116164,control,ZellerG_2014,phylum
4,Node,12.0,control,ZellerG_2014,phylum
5,Edge,24.0,control,ZellerG_2014,phylum
6,density,0.4,control,ZellerG_2014,phylum
7,transitivity,0.2696629213483146,control,ZellerG_2014,phylum
8,algebraic_connectivity,1.000000000000006,control,ZellerG_2014,phylum
9,assortativity,-0.7445786064053044,control,ZellerG_2014,phylum
10,Node,11.0,control,ZellerG_2014,phylum
11,Edge,22.0,control,ZellerG_2014,phylum
12,density,0.4,control,ZellerG_2014,phylum
13,transitivity,0.38181818181818183,control,ZellerG_2014,phylum
14,algebraic_connectivity,0.0,control,ZellerG_2014,phylum
15,assortativity,-0.3989245504957156,control,ZellerG_2014,phylum
16,Node,11.0,control,ZellerG_2014,phylum
17,Edge,22.0,control,ZellerG_2014,phylum
18,density,0.5,CRC,ZellerG_2014,phylum
19,transitivity,0.6133333333333333,CRC,ZellerG_2014,phylum
20,algebraic_connectivity,0.9098300562505535,CRC,ZellerG_2014,phylum
21,assortativity,-0.5474354192484934,CRC,ZellerG_2014,phylum
22,Node,13.0,CRC,ZellerG_2014,phylum
23,Edge,39.0,CRC,ZellerG_2014,phylum
24,density,0.3047619047619048,control,ZellerG_2014,phylum
25,transitivity,0.28888888888888886,control,ZellerG_2014,phylum
26,algebraic_connectivity,0.7971431343269946,control,ZellerG_2014,phylum
27,assortativity,-0.5747371609597258,control,ZellerG_2014,phylum
28,Node,15.0,control,ZellerG_2014,phylum
29,Edge,32.0,control,ZellerG_2014,phylum
30,density,0.5384615384615384,control,ZellerG_2014,phylum
31,transitivity,0.7222222222222222,control,ZellerG_2014,phylum
32,algebraic_connectivity,1.0000000000000095,control,ZellerG_2014,phylum
33,assortativity,-0.5123144674604441,control,ZellerG_2014,phylum
34,Node,13.0,control,ZellerG_2014,phylum
35,Edge,42.0,control,ZellerG_2014,phylum
36,density,0.358974358974359,control,ZellerG_2014,phylum
37,transitivity,0.40384615384615385,control,ZellerG_2014,phylum
38,algebraic_connectivity,0.8013137964852366,control,ZellerG_2014,phylum
39,assortativity,-0.5291139240506328,control,ZellerG_2014,phylum
40,Node,13.0,control,ZellerG_2014,phylum
41,Edge,28.0,control,ZellerG_2014,phylum
42,density,0.41025641025641024,control,ZellerG_2014,phylum
43,transitivity,0.43243243243243246,control,ZellerG_2014,phylum
44,algebraic_connectivity,0.6362282736342522,control,ZellerG_2014,phylum
45,assortativity,-0.3927754428898236,control,ZellerG_2014,phylum
46,Node,13.0,control,ZellerG_2014,phylum
47,Edge,32.0,control,ZellerG_2014,phylum
48,density,0.46405228758169936,CRC,ZellerG_2014,phylum
49,transitivity,0.7291280148423006,CRC,ZellerG_2014,phylum
50,algebraic_connectivity,0.8557629161474007,CRC,ZellerG_2014,phylum
51,assortativity,-0.43325035824268804,CRC,ZellerG_2014,phylum
52,Node,18.0,CRC,ZellerG_2014,phylum
53,Edge,71.0,CRC,ZellerG_2014,phylum
54,density,0.358974358974359,control,ZellerG_2014,phylum
55,transitivity,0.3068181818181818,control,ZellerG_2014,phylum
56,algebraic_connectivity,0.7697911732256824,control,ZellerG_2014,phylum
57,assortativity,-0.42514938255211726,control,ZellerG_2014,phylum
58,Node,13.0,control,ZellerG_2014,phylum
59,Edge,28.0,control,ZellerG_2014,phylum
60,density,0.32967032967032966,control,ZellerG_2014,phylum
61,transitivity,0.2912621359223301,control,ZellerG_2014,phylum
62,algebraic_connectivity,0.41809391048675965,control,ZellerG_2014,phylum
63,assortativity,-0.4318711953120556,control,ZellerG_2014,phylum
64,Node,14.0,control,ZellerG_2014,phylum
65,Edge,30.0,control,ZellerG_2014,phylum
66,density,0.4230769230769231,control,ZellerG_2014,phylum
67,transitivity,0.4418604651162791,control,ZellerG_2014,phylum
68,algebraic_connectivity,0.8452683901521906,control,ZellerG_2014,phylum
69,assortativity,-0.5149301635788116,control,ZellerG_2014,phylum
70,Node,13.0,control,ZellerG_2014,phylum
71,Edge,33.0,control,ZellerG_2014,phylum
72,density,0.5,control,ZellerG_2014,phylum
73,transitivity,0.4864864864864865,control,ZellerG_2014,phylum
74,algebraic_connectivity,0.0,control,ZellerG_2014,phylum
75,assortativity,-0.274702037677816,control,ZellerG_2014,phylum
76,Node,12.0,control,ZellerG_2014,phylum
77,Edge,33.0,control,ZellerG_2014,phylum
78,density,0.45454545454545453,control,ZellerG_2014,phylum
79,transitivity,0.4105263157894737,control,ZellerG_2014,phylum
80,algebraic_connectivity,1.000000000000006,control,ZellerG_2014,phylum
81,assortativity,-0.6401954795357364,control,ZellerG_2014,phylum
82,Node,11.0,control,ZellerG_2014,phylum
83,Edge,25.0,control,ZellerG_2014,phylum
84,density,0.3717948717948718,CRC,ZellerG_2014,phylum
85,transitivity,0.375,CRC,ZellerG_2014,phylum
86,algebraic_connectivity,0.9123169308856593,CRC,ZellerG_2014,phylum
87,assortativity,-0.48615338555960286,CRC,ZellerG_2014,phylum
88,Node,13.0,CRC,ZellerG_2014,phylum
89,Edge,29.0,CRC,ZellerG_2014,phylum
90,density,0.3484848484848485,control,ZellerG_2014,phylum
91,transitivity,0.3,control,ZellerG_2014,phylum
92,algebraic_connectivity,0.0,control,ZellerG_2014,phylum
93,assortativity,-0.3331196307218882,control,ZellerG_2014,phylum
94,Node,12.0,control,ZellerG_2014,phylum
95,Edge,23.0,control,ZellerG_2014,phylum
96,density,0.5151515151515151,control,ZellerG_2014,phylum
97,transitivity,0.5206611570247934,control,ZellerG_2014,phylum
98,algebraic_connectivity,1.0000000000000089,control,ZellerG_2014,phylum
99,assortativity,-0.3662578182113567,control,ZellerG_2014,phylum
100,Node,12.0,control,ZellerG_2014,phylum
101,Edge,34.0,control,ZellerG_2014,phylum
102,density,0.48484848484848486,control,ZellerG_2014,phylum
103,transitivity,0.6690647482014388,control,ZellerG_2014,phylum
104,algebraic_connectivity,0.8103947051649619,control,ZellerG_2014,phylum
105,assortativity,-0.5254732603825061,control,ZellerG_2014,phylum
106,Node,12.0,control,ZellerG_2014,phylum
107,Edge,32.0,control,ZellerG_2014,phylum
108,density,0.6111111111111112,CRC,ZellerG_2014,phylum
109,transitivity,0.631578947368421,CRC,ZellerG_2014,phylum
110,algebraic_connectivity,0.9268678664796642,CRC,ZellerG_2014,phylum
111,assortativity,-0.14591651542649753,CRC,ZellerG_2014,phylum
112,Node,9.0,CRC,ZellerG_2014,phylum
113,Edge,22.0,CRC,ZellerG_2014,phylum
114,density,0.38461538461538464,CRC,ZellerG_2014,phylum
115,transitivity,0.3333333333333333,CRC,ZellerG_2014,phylum
116,algebraic_connectivity,0.924332231727494,CRC,ZellerG_2014,phylum
117,assortativity,-0.41005022510214184,CRC,ZellerG_2014,phylum
118,Node,13.0,CRC,ZellerG_2014,phylum
119,Edge,30.0,CRC,ZellerG_2014,phylum
120,density,0.3333333333333333,control,ZellerG_2014,phylum
121,transitivity,0.3037974683544304,control,ZellerG_2014,phylum
122,algebraic_connectivity,0.7945882746894251,control,ZellerG_2014,phylum
123,assortativity,-0.6540008940545367,control,ZellerG_2014,phylum
124,Node,12.0,control,ZellerG_2014,phylum
125,Edge,22.0,control,ZellerG_2014,phylum
126,density,0.43636363636363634,CRC,ZellerG_2014,phylum
127,transitivity,0.3333333333333333,CRC,ZellerG_2014,phylum
128,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum
