,Property,Value,Group,Cohort,Level,Origin
0,assortativity,0.667,control,ZellerG_2014,phylum,0.667
1,transitivity,0.375,control,ZellerG_2014,phylum,0.375
2,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
3,density,-0.221,control,ZellerG_2014,phylum,-0.221
4,assortativity,0.667,control,ZellerG_2014,phylum,0.667
5,transitivity,0.25,control,ZellerG_2014,phylum,0.25
6,algebraic_connectivity,1.0,control,ZellerG_2014,phylum,1.0
7,density,-0.474,control,ZellerG_2014,phylum,-0.474
8,assortativity,0.357,CRC,ZellerG_2014,phylum,0.357
9,transitivity,0.2,CRC,ZellerG_2014,phylum,0.2
10,algebraic_connectivity,0.41,CRC,ZellerG_2014,phylum,0.41
11,density,-0.385,CRC,ZellerG_2014,phylum,-0.385
12,assortativity,0.667,control,ZellerG_2014,phylum,0.667
13,transitivity,0.333,control,ZellerG_2014,phylum,0.333
14,algebraic_connectivity,0.697,control,ZellerG_2014,phylum,0.697
15,density,-0.161,control,ZellerG_2014,phylum,-0.161
16,assortativity,0.476,control,ZellerG_2014,phylum,0.476
17,transitivity,0.6,control,ZellerG_2014,phylum,0.6
18,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
19,density,0.111,control,ZellerG_2014,phylum,0.111
20,assortativity,0.357,control,ZellerG_2014,phylum,0.357
21,transitivity,0.0,control,ZellerG_2014,phylum,0.0
22,algebraic_connectivity,0.319,control,ZellerG_2014,phylum,0.319
23,density,-0.216,control,ZellerG_2014,phylum,-0.216
24,assortativity,0.476,control,ZellerG_2014,phylum,0.476
25,transitivity,0.0,control,ZellerG_2014,phylum,0.0
26,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
27,density,-0.215,control,ZellerG_2014,phylum,-0.215
28,assortativity,0.667,CRC,ZellerG_2014,phylum,0.667
29,transitivity,0.429,CRC,ZellerG_2014,phylum,0.429
30,algebraic_connectivity,0.325,CRC,ZellerG_2014,phylum,0.325
31,density,-0.231,CRC,ZellerG_2014,phylum,-0.231
32,assortativity,0.667,control,ZellerG_2014,phylum,0.667
33,transitivity,0.545,control,ZellerG_2014,phylum,0.545
34,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
35,density,-0.289,control,ZellerG_2014,phylum,-0.289
36,assortativity,0.476,control,ZellerG_2014,phylum,0.476
37,transitivity,0.25,control,ZellerG_2014,phylum,0.25
38,algebraic_connectivity,0.609,control,ZellerG_2014,phylum,0.609
39,density,-0.357,control,ZellerG_2014,phylum,-0.357
40,assortativity,0.476,control,ZellerG_2014,phylum,0.476
41,transitivity,0.3,control,ZellerG_2014,phylum,0.3
42,algebraic_connectivity,0.382,control,ZellerG_2014,phylum,0.382
43,density,0.169,control,ZellerG_2014,phylum,0.169
44,assortativity,0.667,adenoma,ZellerG_2014,phylum,0.667
45,transitivity,0.25,adenoma,ZellerG_2014,phylum,0.25
46,algebraic_connectivity,1.0,adenoma,ZellerG_2014,phylum,1.0
47,density,-0.565,adenoma,ZellerG_2014,phylum,-0.565
48,assortativity,0.667,control,ZellerG_2014,phylum,0.667
49,transitivity,0.3,control,ZellerG_2014,phylum,0.3
50,algebraic_connectivity,0.631,control,ZellerG_2014,phylum,0.631
51,density,-0.341,control,ZellerG_2014,phylum,-0.341
52,assortativity,0.667,control,ZellerG_2014,phylum,0.667
53,transitivity,0.3,control,ZellerG_2014,phylum,0.3
54,algebraic_connectivity,0.631,control,ZellerG_2014,phylum,0.631
55,density,-0.341,control,ZellerG_2014,phylum,-0.341
56,assortativity,0.667,adenoma,ZellerG_2014,phylum,0.667
57,transitivity,0.333,adenoma,ZellerG_2014,phylum,0.333
58,algebraic_connectivity,0.486,adenoma,ZellerG_2014,phylum,0.486
59,density,-0.387,adenoma,ZellerG_2014,phylum,-0.387
60,assortativity,0.278,CRC,ZellerG_2014,phylum,0.278
61,transitivity,0.0,CRC,ZellerG_2014,phylum,0.0
62,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
63,density,-0.111,CRC,ZellerG_2014,phylum,-0.111
64,assortativity,0.476,control,ZellerG_2014,phylum,0.476
65,transitivity,0.25,control,ZellerG_2014,phylum,0.25
66,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
67,density,-0.482,control,ZellerG_2014,phylum,-0.482
68,assortativity,0.667,control,ZellerG_2014,phylum,0.667
69,transitivity,0.429,control,ZellerG_2014,phylum,0.429
70,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
71,density,0.041,control,ZellerG_2014,phylum,0.041
72,assortativity,0.667,control,ZellerG_2014,phylum,0.667
73,transitivity,0.333,control,ZellerG_2014,phylum,0.333
74,algebraic_connectivity,0.697,control,ZellerG_2014,phylum,0.697
75,density,-0.179,control,ZellerG_2014,phylum,-0.179
76,assortativity,0.357,CRC,ZellerG_2014,phylum,0.357
77,transitivity,0.429,CRC,ZellerG_2014,phylum,0.429
78,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
79,density,0.089,CRC,ZellerG_2014,phylum,0.089
80,assortativity,0.476,CRC,ZellerG_2014,phylum,0.476
81,transitivity,0.0,CRC,ZellerG_2014,phylum,0.0
82,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
83,density,0.284,CRC,ZellerG_2014,phylum,0.284
84,assortativity,0.357,control,ZellerG_2014,phylum,0.357
85,transitivity,0.176,control,ZellerG_2014,phylum,0.176
86,algebraic_connectivity,0.507,control,ZellerG_2014,phylum,0.507
87,density,-0.633,control,ZellerG_2014,phylum,-0.633
88,assortativity,0.357,CRC,ZellerG_2014,phylum,0.357
89,transitivity,0.0,CRC,ZellerG_2014,phylum,0.0
90,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
91,density,-0.46,CRC,ZellerG_2014,phylum,-0.46
92,assortativity,0.357,CRC,ZellerG_2014,phylum,0.357
93,transitivity,0.0,CRC,ZellerG_2014,phylum,0.0
94,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
95,density,-0.608,CRC,ZellerG_2014,phylum,-0.608
96,assortativity,0.476,control,ZellerG_2014,phylum,0.476
97,transitivity,0.429,control,ZellerG_2014,phylum,0.429
98,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
99,density,-0.008,control,ZellerG_2014,phylum,-0.008
100,assortativity,0.476,control,ZellerG_2014,phylum,0.476
101,transitivity,0.3,control,ZellerG_2014,phylum,0.3
102,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
103,density,-0.378,control,ZellerG_2014,phylum,-0.378
104,assortativity,0.476,control,ZellerG_2014,phylum,0.476
105,transitivity,0.0,control,ZellerG_2014,phylum,0.0
106,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
107,density,-0.096,control,ZellerG_2014,phylum,-0.096
108,assortativity,0.667,control,ZellerG_2014,phylum,0.667
109,transitivity,0.3,control,ZellerG_2014,phylum,0.3
110,algebraic_connectivity,0.631,control,ZellerG_2014,phylum,0.631
111,density,-0.35,control,ZellerG_2014,phylum,-0.35
112,assortativity,0.476,CRC,ZellerG_2014,phylum,0.476
113,transitivity,0.375,CRC,ZellerG_2014,phylum,0.375
114,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
115,density,-0.261,CRC,ZellerG_2014,phylum,-0.261
116,assortativity,0.667,control,ZellerG_2014,phylum,0.667
117,transitivity,0.25,control,ZellerG_2014,phylum,0.25
118,algebraic_connectivity,1.0,control,ZellerG_2014,phylum,1.0
119,density,-0.565,control,ZellerG_2014,phylum,-0.565
120,assortativity,0.667,CRC,ZellerG_2014,phylum,0.667
121,transitivity,0.462,CRC,ZellerG_2014,phylum,0.462
122,algebraic_connectivity,0.697,CRC,ZellerG_2014,phylum,0.697
123,density,-0.354,CRC,ZellerG_2014,phylum,-0.354
124,assortativity,0.667,CRC,ZellerG_2014,phylum,0.667
125,transitivity,0.3,CRC,ZellerG_2014,phylum,0.3
126,algebraic_connectivity,0.631,CRC,ZellerG_2014,phylum,0.631
127,density,-0.341,CRC,ZellerG_2014,phylum,-0.341
128,assortativity,0.476,adenoma,ZellerG_2014,phylum,0.476
129,transitivity,0.429,adenoma,ZellerG_2014,phylum,0.429
130,algebraic_connectivity,0.0,adenoma,ZellerG_2014,phylum,0.0
131,density,-0.479,adenoma,ZellerG_2014,phylum,-0.479
132,assortativity,0.476,CRC,ZellerG_2014,phylum,0.476
133,transitivity,0.0,CRC,ZellerG_2014,phylum,0.0
134,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
135,density,-0.513,CRC,ZellerG_2014,phylum,-0.513
136,assortativity,0.667,control,ZellerG_2014,phylum,0.667
137,transitivity,0.3,control,ZellerG_2014,phylum,0.3
138,algebraic_connectivity,0.631,control,ZellerG_2014,phylum,0.631
139,density,-0.333,control,ZellerG_2014,phylum,-0.333
140,assortativity,0.476,CRC,ZellerG_2014,phylum,0.476
141,transitivity,0.25,CRC,ZellerG_2014,phylum,0.25
142,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
143,density,-0.482,CRC,ZellerG_2014,phylum,-0.482
144,assortativity,0.667,adenoma,ZellerG_2014,phylum,0.667
145,transitivity,0.25,adenoma,ZellerG_2014,phylum,0.25
146,algebraic_connectivity,1.0,adenoma,ZellerG_2014,phylum,1.0
147,density,-0.565,adenoma,ZellerG_2014,phylum,-0.565
148,assortativity,0.357,adenoma,ZellerG_2014,phylum,0.357
149,transitivity,0.0,adenoma,ZellerG_2014,phylum,0.0
150,algebraic_connectivity,0.0,adenoma,ZellerG_2014,phylum,0.0
151,density,-0.643,adenoma,ZellerG_2014,phylum,-0.643
152,assortativity,0.476,control,ZellerG_2014,phylum,0.476
153,transitivity,0.375,control,ZellerG_2014,phylum,0.375
154,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
155,density,-0.261,control,ZellerG_2014,phylum,-0.261
156,assortativity,0.476,control,ZellerG_2014,phylum,0.476
157,transitivity,0.3,control,ZellerG_2014,phylum,0.3
158,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
159,density,-0.357,control,ZellerG_2014,phylum,-0.357
160,assortativity,0.667,control,ZellerG_2014,phylum,0.667
161,transitivity,0.3,control,ZellerG_2014,phylum,0.3
162,algebraic_connectivity,0.631,control,ZellerG_2014,phylum,0.631
163,density,-0.341,control,ZellerG_2014,phylum,-0.341
164,assortativity,0.476,adenoma,ZellerG_2014,phylum,0.476
165,transitivity,0.316,adenoma,ZellerG_2014,phylum,0.316
166,algebraic_connectivity,1.0,adenoma,ZellerG_2014,phylum,1.0
167,density,-0.432,adenoma,ZellerG_2014,phylum,-0.432
168,assortativity,0.667,adenoma,ZellerG_2014,phylum,0.667
169,transitivity,0.6,adenoma,ZellerG_2014,phylum,0.6
170,algebraic_connectivity,0.0,adenoma,ZellerG_2014,phylum,0.0
171,density,-0.457,adenoma,ZellerG_2014,phylum,-0.457
172,assortativity,0.667,CRC,ZellerG_2014,phylum,0.667
173,transitivity,0.333,CRC,ZellerG_2014,phylum,0.333
174,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
175,density,0.279,CRC,ZellerG_2014,phylum,0.279
176,assortativity,0.667,CRC,ZellerG_2014,phylum,0.667
177,transitivity,0.25,CRC,ZellerG_2014,phylum,0.25
178,algebraic_connectivity,1.0,CRC,ZellerG_2014,phylum,1.0
179,density,-0.565,CRC,ZellerG_2014,phylum,-0.565
180,assortativity,0.357,control,ZellerG_2014,phylum,0.357
181,transitivity,0.158,control,ZellerG_2014,phylum,0.158
182,algebraic_connectivity,0.574,control,ZellerG_2014,phylum,0.574
183,density,-0.667,control,ZellerG_2014,phylum,-0.667
184,assortativity,0.357,adenoma,ZellerG_2014,phylum,0.357
185,transitivity,0.0,adenoma,ZellerG_2014,phylum,0.0
186,algebraic_connectivity,0.382,adenoma,ZellerG_2014,phylum,0.382
187,density,-0.32,adenoma,ZellerG_2014,phylum,-0.32
188,assortativity,0.667,CRC,ZellerG_2014,phylum,0.667
189,transitivity,0.375,CRC,ZellerG_2014,phylum,0.375
190,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
191,density,-0.221,CRC,ZellerG_2014,phylum,-0.221
192,assortativity,0.357,control,ZellerG_2014,phylum,0.357
193,transitivity,0.0,control,ZellerG_2014,phylum,0.0
194,algebraic_connectivity,0.0,control,ZellerG_2014,phylum,0.0
195,density,-0.246,control,ZellerG_2014,phylum,-0.246
196,assortativity,0.667,control,ZellerG_2014,phylum,0.667
197,transitivity,0.0,control,ZellerG_2014,phylum,0.0
198,algebraic_connectivity,0.486,control,ZellerG_2014,phylum,0.486
199,density,-0.374,control,ZellerG_2014,phylum,-0.374
200,assortativity,0.357,adenoma,ZellerG_2014,phylum,0.357
201,transitivity,0.214,adenoma,ZellerG_2014,phylum,0.214
202,algebraic_connectivity,0.0,adenoma,ZellerG_2014,phylum,0.0
203,density,-0.542,adenoma,ZellerG_2014,phylum,-0.542
204,assortativity,0.667,CRC,ZellerG_2014,phylum,0.667
205,transitivity,0.333,CRC,ZellerG_2014,phylum,0.333
206,algebraic_connectivity,0.697,CRC,ZellerG_2014,phylum,0.697
207,density,-0.161,CRC,ZellerG_2014,phylum,-0.161
208,assortativity,0.476,CRC,ZellerG_2014,phylum,0.476
209,transitivity,0.545,CRC,ZellerG_2014,phylum,0.545
210,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
211,density,-0.335,CRC,ZellerG_2014,phylum,-0.335
212,assortativity,0.357,CRC,ZellerG_2014,phylum,0.357
213,transitivity,0.25,CRC,ZellerG_2014,phylum,0.25
214,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
215,density,-0.264,CRC,ZellerG_2014,phylum,-0.264
216,assortativity,0.476,CRC,ZellerG_2014,phylum,0.476
217,transitivity,0.333,CRC,ZellerG_2014,phylum,0.333
218,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
219,density,-0.246,CRC,ZellerG_2014,phylum,-0.246
220,assortativity,0.667,control,ZellerG_2014,phylum,0.667
221,transitivity,0.25,control,ZellerG_2014,phylum,0.25
222,algebraic_connectivity,1.0,control,ZellerG_2014,phylum,1.0
223,density,-0.474,control,ZellerG_2014,phylum,-0.474
224,assortativity,0.667,adenoma,ZellerG_2014,phylum,0.667
225,transitivity,0.5,adenoma,ZellerG_2014,phylum,0.5
226,algebraic_connectivity,0.0,adenoma,ZellerG_2014,phylum,0.0
227,density,0.291,adenoma,ZellerG_2014,phylum,0.291
228,assortativity,0.476,control,ZellerG_2014,phylum,0.476
229,transitivity,0.3,control,ZellerG_2014,phylum,0.3
230,algebraic_connectivity,1.0,control,ZellerG_2014,phylum,1.0
231,density,-0.679,control,ZellerG_2014,phylum,-0.679
232,assortativity,0.476,adenoma,ZellerG_2014,phylum,0.476
233,transitivity,0.3,adenoma,ZellerG_2014,phylum,0.3
234,algebraic_connectivity,0.0,adenoma,ZellerG_2014,phylum,0.0
235,density,-0.323,adenoma,ZellerG_2014,phylum,-0.323
236,assortativity,0.667,adenoma,ZellerG_2014,phylum,0.667
237,transitivity,0.4,adenoma,ZellerG_2014,phylum,0.4
238,algebraic_connectivity,1.0,adenoma,ZellerG_2014,phylum,1.0
239,density,-0.589,adenoma,ZellerG_2014,phylum,-0.589
240,assortativity,0.667,CRC,ZellerG_2014,phylum,0.667
241,transitivity,0.0,CRC,ZellerG_2014,phylum,0.0
242,algebraic_connectivity,0.657,CRC,ZellerG_2014,phylum,0.657
243,density,-0.32,CRC,ZellerG_2014,phylum,-0.32
244,assortativity,0.667,control,ZellerG_2014,phylum,0.667
245,transitivity,0.474,control,ZellerG_2014,phylum,0.474
246,algebraic_connectivity,1.0,control,ZellerG_2014,phylum,1.0
247,density,-0.639,control,ZellerG_2014,phylum,-0.639
248,assortativity,0.476,CRC,ZellerG_2014,phylum,0.476
249,transitivity,0.231,CRC,ZellerG_2014,phylum,0.231
250,algebraic_connectivity,0.551,CRC,ZellerG_2014,phylum,0.551
251,density,-0.536,CRC,ZellerG_2014,phylum,-0.536
252,assortativity,0.357,CRC,ZellerG_2014,phylum,0.357
253,transitivity,0.0,CRC,ZellerG_2014,phylum,0.0
254,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum,0.0
255,density,-0.643,CRC,ZellerG_2014,phylum,-0.643
256,assortativity,0.667,control,ZellerG_2014,phylum,0.667
257,transitivity,0.4,control,ZellerG_2014,phylum,0.4
258,algebraic_connectivity,1.0,control,ZellerG_2014,phylum,1.0
259,density,-0.589,control,ZellerG_2014,phylum,-0.589
260,assortativity,0.476,adenoma,ZellerG_2014,phylum,0.476
261,transitivity,0.333,adenoma,ZellerG_2014,phylum,0.333
262,algebraic_connectivity,0.704,adenoma,ZellerG_2014,phylum,0.704
263,density,-0.632,adenoma,ZellerG_2014,phylum,-0.632
264,assortativity,0.476,adenoma,ZellerG_2014,phylum,0.476
265,transitivity,0.231,adenoma,ZellerG_2014,phylum,0.231
266,algebraic_connectivity,0.551,adenoma,ZellerG_2014,phylum,0.551
