	Product	Count
0	Sensor histidine kinase RcsC	59924
1	TonB-dependent receptor SusC	45805
2	Adaptive-response sensory-kinase SasA	41908
3	Multidrug export protein MepA	36333
4	Tyrosine recombinase XerC	33606
5	Vitamin B12 import ATP-binding protein BtuD	32367
6	putative ABC transporter ATP-binding protein	30289
7	putative protein	28092
8	Beta-galactosidase	25327
9	HTH-type transcriptional activator RhaR	22353
10	HTH-type transcriptional activator RhaS	16896
11	Vitamin B12 transporter BtuB	15715
12	Chromosome partition protein Smc	14576
13	Thiol-disulfide oxidoreductase ResA	12810
14	DNA gyrase subunit A	12664
15	23S rRNA (uracil-C(5))-methyltransferase RlmCD	12298
16	Elongation factor 4	12256
17	Cytidylate kinase	11466
18	1-deoxy-D-xylulose-5-phosphate synthase	11456
19	putative FMN/FAD exporter YeeO	11175
20	DNA gyrase subunit B	11006
21	DNA topoisomerase 3	10943
22	UvrABC system protein A	10792
23	Elongation factor G	10612
24	Tyrosine recombinase XerD	10493
25	L-arabinose transport system permease protein AraQ	10463
26	Glutamine synthetase	10419
27	Amino-acid carrier protein AlsT	10388
