,Sample,Bkp_count,Bases
0,CCIS00146684ST-4-0,353,6512170482.0
1,CCIS00281083ST-3-0,184,3298640533.0
2,CCIS02124300ST-4-0,495,7846466205.0
3,CCIS02379307ST-4-0,2141,907920835.0
4,CCIS02856720ST-4-0,258,6190369807.0
5,CCIS03473770ST-4-0,224,3733212784.0
6,CCIS03857607ST-4-0,352,5403961311.0
7,CCIS05314658ST-4-0,283,5175146179.0
8,CCIS06260551ST-3-0,113,2826425982.0
9,CCIS07277498ST-4-0,365,5667757614.0
10,CCIS07539127ST-4-0,339,5817465348.0
11,CCIS07648107ST-4-0,412,5739043252.0
12,CCIS08668806ST-3-0,357,1560454141.0
13,CCIS09568613ST-4-0,228,6488989235.0
14,CCIS10706551ST-3-0,365,5152050233.0
15,CCIS10793554ST-4-0,330,3369353210.0
16,CCIS11015875ST-4-0,230,5021042144.0
17,CCIS11354283ST-4-0,375,5296232853.0
18,CCIS11362406ST-4-0,268,8334068161.0
19,CCIS11558985ST-4-0,222,3229069072.0
20,CCIS12370844ST-4-0,53,497672074.0
21,CCIS12656533ST-4-0,226,3848992468.0
22,CCIS13047523ST-4-0,488,5363998665.0
23,CCIS14449628ST-4-0,208,4256129777.0
24,CCIS15704761ST-4-0,253,3631882002.0
25,CCIS15794887ST-4-0,554,3698892069.0
26,CCIS16326685ST-4-0,519,4547422592.0
27,CCIS16383318ST-4-0,356,6621569027.0
28,CCIS16561622ST-4-0,360,7453752248.0
29,CCIS17669415ST-4-0,258,5754783062.0
30,CCIS20795251ST-4-0,208,4611051584.0
31,CCIS21126322ST-4-0,321,6704190994.0
32,CCIS21278152ST-4-0,399,4306955793.0
33,CCIS22416007ST-4-0,433,7567990129.0
34,CCIS22906510ST-20-0,574,7634935649.0
35,CCIS22958137ST-20-0,438,8757847513.0
36,CCIS23164343ST-4-0,303,5871764899.0
37,CCIS24254057ST-4-0,210,11694061283.0
38,CCIS24898163ST-4-0,536,1062478244.0
39,CCIS25399172ST-4-0,193,2474388952.0
40,CCIS27304052ST-3-0,212,3405411697.0
41,CCIS27927933ST-4-0,228,7788532840.0
42,CCIS29210128ST-4-0,330,3986872657.0
43,CCIS29688262ST-20-0,588,7382792447.0
44,CCIS31434951ST-20-0,326,2620882999.0
45,CCIS32105356ST-4-0,396,4392664436.0
46,CCIS32452666ST-4-0,219,4440407460.0
