,pathway_name,pathway_id,p_value,gene_num,fold,first_class,second_class,fir_freq,sec_freq,p.adj
4,Carbon fixation in photosynthetic organisms,map00710,2.5968230684185094e-13,660,0.7571222593282968,Metabolism,Energy metabolism,0.006066455259892458,0.007996954806867634,1.0361324042989852e-10
5,Pancreatic secretion,map04972,5.818399260900803e-07,99,1.7574086189153704,Organismal Systems,Digestive system,0.0009099682889838688,0.0005179929637135407,0.00023215413050994206
11,Pertussis,map05133,1.3255121918298223e-18,268,1.8360495238419627,Human Diseases,Infectious disease: bacterial,0.002463348499471483,0.0013431635081894947,5.288793645400991e-16
14,Lysine degradation,map00310,2.716826081683245e-07,174,0.6869866270496428,Metabolism,Amino acid metabolism,0.001599338204880739,0.0023263532889230363,0.00010840136065916148
15,Monobactam biosynthesis,map00261,5.9877897411527464e-05,342,0.8064379620971069,Metabolism,Biosynthesis of other secondary metabolites,0.0031435268164897285,0.003895100332984928,0.023891281067199458
16,Tuberculosis,map05152,3.5666828350810606e-05,250,1.3207652147339628,Human Diseases,Infectious disease: bacterial,0.0022978997196562343,0.0017407960255946858,0.014231064511973432
19,Sphingolipid metabolism,map00600,6.692186792240534e-107,906,2.358401893170177,Metabolism,Lipid metabolism,0.008327588584034193,0.003548048739335086,2.6701825301039728e-104
20,Riboflavin metabolism,map00740,1.5492779987370072e-11,456,0.7356816763488345,Metabolism,Metabolism of cofactors and vitamins,0.004191369088652972,0.005688692505273154,6.181619214960659e-09
22,Metabolic pathways,map01100,4.1583389389150787e-168,32169,0.831146746257554,Other,Other,0.2956845443264856,0.33559556822498987,1.6591772366271165e-165
23,Glycosphingolipid biosynthesis - ganglio series,map00604,7.329760596809039e-22,170,2.3731676256233216,Metabolism,Glycan biosynthesis and metabolism,0.0015625718093662392,0.0006590288241116679,2.9245744781268064e-19
29,Homologous recombination,map03440,1.3556770261559587e-11,1605,1.1953990406873556,Genetic Information Processing,Replication and repair,0.014752516200193024,0.012370912498324737,5.4091513343622755e-09
30,Drug metabolism - other enzymes,map00983,2.062369327099939e-58,1151,1.7007707458139065,Metabolism,Xenobiotics biodegradation and metabolism,0.010579530309297301,0.006247667093343218,8.228853615128757e-56
31,"Glycine, serine and threonine metabolism",map00260,3.463334711681637e-14,1131,0.8002333358338176,Metabolism,Amino acid metabolism,0.010395698331724804,0.01295720816929915,1.3818705499609732e-11
34,Novobiocin biosynthesis,map00401,1.701240959362752e-08,225,0.6962540498259132,Metabolism,Biosynthesis of other secondary metabolites,0.0020681097476906106,0.0029676603295291804,6.787951427857381e-06
37,Spinocerebellar ataxia,map05017,1.916466861964485e-37,152,3.6705440983829623,Human Diseases,Neurodegenerative disease,0.0013971230295509905,0.0003810183453687626,7.646702779238295e-35
38,Atrazine degradation,map00791,3.777842870165609e-09,16,0.2943024896787045,Metabolism,Xenobiotics biodegradation and metabolism,0.00014706558205799898,0.0004995327725619533,1.507359305196078e-06
40,Benzoate degradation,map00362,4.383111397551145e-05,212,0.758174003476257,Metabolism,Xenobiotics biodegradation and metabolism,0.0019486189622684865,0.002568550996831862,0.01748861447622907
42,Aminobenzoate degradation,map00627,2.0035995424182725e-06,86,0.614934931737509,Metabolism,Xenobiotics biodegradation and metabolism,0.0007904775035617445,0.0012848293041504786,0.0007994362174248907
51,Alzheimer disease,map05010,3.7788223748753576e-08,41,0.4608288566993534,Human Diseases,Neurodegenerative disease,0.0003768555540236224,0.0008174172641922873,1.5077501275752677e-05
53,Streptomycin biosynthesis,map00521,1.8918430319173025e-16,736,1.3878108503330728,Metabolism,Biosynthesis of other secondary metabolites,0.0067650167746679535,0.004883828171063946,7.548453697350036e-14
57,Nitrotoluene degradation,map00633,1.6450466896565546e-09,40,0.4295827771088345,Metabolism,Xenobiotics biodegradation and metabolism,0.0003676639551449975,0.0008554452579645572,6.563736291729653e-07
61,Biosynthesis of siderophore group nonribosomal peptides,map01053,4.418104213298092e-09,102,1.9363691297238383,Metabolism,Metabolism of terpenoids and polyketides,0.0009375430856197436,0.00048439541581765173,1.7628235811059386e-06
65,Pentose phosphate pathway,map00030,1.0176553497796747e-19,1044,0.7591555429090514,Metabolism,Carbohydrate metabolism,0.009596029229284434,0.012602034091542612,4.060444845620902e-17
66,Peptidoglycan biosynthesis,map00550,3.0345909323104155e-05,1701,0.9026268110974193,Metabolism,Glycan biosynthesis and metabolism,0.015634909692541017,0.017292399459337922,0.012108017819918557
76,Terpenoid backbone biosynthesis,map00900,1.5846250303172103e-26,671,0.6744462742150623,Metabolism,Metabolism of terpenoids and polyketides,0.006167562847557332,0.009117488409768986,6.322653870965669e-24
