	Genome	position	freqency	CRC	control
0	GUT_GENOME143505_1	0	14641	314	275
1	GUT_GENOME143505_1	2800000	39697	321	281
2	GUT_GENOME143505_1	4200000	10823	303	280
3	GUT_GENOME143505_1	1200000	24752	267	254
4	GUT_GENOME143505_1	4100000	28383	262	234
5	GUT_GENOME143505_1	4900000	37834	323	294
6	GUT_GENOME143505_1	1400000	34785	305	272
7	GUT_GENOME143505_1	800000	49706	276	247
8	GUT_GENOME143505_1	4700000	15266	256	243
9	GUT_GENOME143505_1	3700000	24139	249	233
10	GUT_GENOME143505_1	5200000	31602	275	249
11	GUT_GENOME143505_1	5100000	31387	336	305
12	GUT_GENOME143505_1	400000	46441	264	245
13	GUT_GENOME143505_1	3900000	21727	266	243
14	GUT_GENOME143505_1	4800000	24158	229	215
15	GUT_GENOME143505_1	600000	32728	288	252
16	GUT_GENOME143505_1	700000	30705	250	227
17	GUT_GENOME143505_1	1300000	36663	276	261
18	GUT_GENOME143505_1	1600000	36053	296	273
19	GUT_GENOME143505_1	1700000	12887	209	191
20	GUT_GENOME143505_1	2600000	39902	272	244
21	GUT_GENOME143505_1	900000	19215	264	227
22	GUT_GENOME143505_1	4400000	23521	259	242
23	GUT_GENOME143505_1	3000000	24135	273	252
24	GUT_GENOME143505_1	4500000	18029	281	257
25	GUT_GENOME143505_1	3300000	19164	257	226
26	GUT_GENOME143505_1	1100000	42362	282	245
27	GUT_GENOME143505_1	1000000	35814	279	265
28	GUT_GENOME143505_1	1800000	39709	284	264
29	GUT_GENOME143505_1	2100000	24225	276	249
30	GUT_GENOME143505_1	2300000	36388	292	257
31	GUT_GENOME143505_1	2400000	12876	234	219
32	GUT_GENOME143505_1	2700000	19622	258	229
33	GUT_GENOME143505_1	3800000	17537	230	219
34	GUT_GENOME143505_1	1500000	38052	282	251
35	GUT_GENOME143505_1	3200000	21818	247	230
36	GUT_GENOME143505_1	2900000	18779	234	213
37	GUT_GENOME143505_1	2200000	19994	266	235
38	GUT_GENOME143505_1	3100000	39981	266	254
39	GUT_GENOME143505_1	3400000	8242	127	101
40	GUT_GENOME143505_1	100000	38302	283	268
