,Feature_number,AUC,Task
0,5,0.6769036448053349,control vs. CRC
1,5,0.8432353840830057,control vs. IGT
2,5,0.6867387556244886,control vs. T2D
3,5,0.8841001978202447,control vs. diarrhoea
4,5,0.6941111168713423,control vs. IBD
5,10,0.7077108071640985,control vs. CRC
6,10,0.8671730511615893,control vs. IGT
7,10,0.6637931020189372,control vs. T2D
8,10,0.983211455118205,control vs. diarrhoea
9,10,0.6856538800761399,control vs. IBD
10,15,0.6949531489669355,control vs. CRC
11,15,0.8766816473239214,control vs. IGT
12,15,0.9859761047199861,control vs. diarrhoea
13,15,0.7256351834398538,control vs. IBD
14,20,0.7056470733659755,control vs. CRC
15,20,0.891146263795106,control vs. IGT
16,20,0.9822246891970092,control vs. diarrhoea
17,20,0.7390787560518073,control vs. IBD
18,25,0.7556479389198187,control vs. CRC
19,25,0.9800736309362804,control vs. diarrhoea
20,25,0.7646431449561569,control vs. IBD
21,30,0.7713041659784424,control vs. CRC
22,30,0.9891477386184542,control vs. diarrhoea
23,30,0.7734491788254056,control vs. IBD
24,35,0.776705702044604,control vs. CRC
25,35,0.9739710239255693,control vs. diarrhoea
26,35,0.7859621614731547,control vs. IBD
27,40,0.7914533775954757,control vs. CRC
28,40,0.979520864683226,control vs. diarrhoea
29,40,0.7812402649011794,control vs. IBD
30,45,0.7757346025352374,control vs. CRC
31,45,0.9706955039288687,control vs. diarrhoea
32,45,0.772428222680683,control vs. IBD
33,50,0.7986022852930036,control vs. CRC
34,50,0.9862149871575111,control vs. diarrhoea
35,50,0.7716825007555476,control vs. IBD
36,55,0.8128027392049093,control vs. CRC
37,55,0.9748658105337504,control vs. diarrhoea
38,55,0.802811947915448,control vs. IBD
39,60,0.8145432950479174,control vs. CRC
40,60,0.9760156539414606,control vs. diarrhoea
41,60,0.7789681758220164,control vs. IBD
