,Length,mm
0,2628,mm
1,1600,mm
2,1642,mm
3,1355,mm
4,1535,mm
5,9586,mm
6,44620,mm
7,588,mm
8,1355,mm
9,1650,mm
10,1650,mm
11,1649,mm
12,1646,mm
13,3408,mm
14,1777,mm
15,1601,mm
16,888,mm
17,1756,mm
18,1670,mm
19,694,mm
20,2555,mm
21,5124,mm
22,2558,mm
23,1680,mm
24,1311,mm
25,1682,mm
26,3430,mm
27,80820,mm
28,2844,mm
29,9289,mm
30,1613,mm
31,22282,mm
32,1433,mm
33,1436,mm
34,1433,mm
35,1434,mm
36,1445,mm
37,1433,mm
38,1433,mm
39,1434,mm
40,33128,mm
41,1416,mm
42,2026,mm
43,2626,mm
44,7718,mm
45,1942,mm
46,1447,mm
47,881,mm
48,1312,mm
49,48514,mm
50,1080,mm
51,29259,mm
52,1089,mm
53,1076,mm
54,1085,mm
55,1076,mm
56,1078,mm
57,49799,mm
58,39122,mm
59,39125,mm
60,1550,mm
61,1175,mm
62,1182,mm
63,1549,mm
64,1650,mm
65,1657,mm
66,724,mm
67,811,mm
68,1561,mm
69,1601,mm
70,1606,mm
71,1551,mm
72,709,mm
73,1284,mm
74,2025,mm
75,8185,mm
76,8191,mm
77,1668,mm
78,1742,mm
79,1601,mm
80,881,mm
81,4300,mm
82,1675,mm
83,665,mm
84,1360,mm
85,668,mm
86,13079,mm
87,1493,mm
88,5866,mm
89,5405,mm
90,1081,mm
91,3437,mm
92,1256,mm
93,615,mm
94,3950,mm
95,3945,mm
96,761,mm
97,936,mm
98,9285,mm
99,22289,mm
100,1496,mm
101,935,mm
102,19731,mm
103,2390,mm
104,2712,mm
105,48529,mm
106,3430,mm
107,8606,mm
108,2526,mm
109,1026,mm
110,2020,mm
111,1337,mm
112,1238,mm
113,1754,mm
114,1758,mm
115,1747,mm
116,1753,mm
117,1758,mm
118,1611,mm
119,1318,mm
120,7659,mm
121,3431,mm
122,9605,mm
123,3943,mm
124,1611,mm
125,15186,mm
126,2547,mm
127,12882,mm
128,54318,mm
129,1504,mm
130,1661,mm
131,80823,mm
132,4120,mm
133,9175,mm
134,46329,mm
135,1631,mm
136,1244,mm
137,1693,mm
138,11496,mm
139,1522,mm
140,1113,mm
141,2084,mm
142,28335,mm
143,1311,mm
144,1681,mm
145,1682,mm
146,1684,mm
147,2413,mm
148,22294,mm
149,6341,mm
150,1349,mm
151,2721,mm
152,2412,mm
153,2414,mm
154,1567,mm
155,9172,mm
156,1551,mm
157,1324,mm
158,40187,mm
159,2744,mm
160,1908,mm
161,6907,mm
162,1849,mm
163,1674,mm
164,1103,mm
165,934,mm
166,933,mm
167,933,mm
168,931,mm
169,932,mm
170,1534,mm
171,1605,mm
172,4290,mm
173,2023,mm
174,642,mm
175,655,mm
176,1829,mm
177,1373,mm
178,1357,mm
179,1933,mm
180,2025,mm
181,2013,mm
182,1145,mm
183,29256,mm
184,1324,mm
185,1347,mm
186,1090,mm
187,2498,mm
188,1323,mm
189,946,mm
190,947,mm
191,952,mm
192,953,mm
193,951,mm
194,947,mm
195,953,mm
196,950,mm
197,953,mm
198,2616,mm
199,1322,mm
200,1341,mm
201,1348,mm
202,1344,mm
203,1348,mm
204,1569,mm
205,1448,mm
206,1578,mm
207,2029,mm
208,4133,mm
209,4137,mm
210,7438,mm
211,620,mm
212,2014,mm
213,1566,mm
214,1081,mm
215,1393,mm
216,1630,mm
217,1327,mm
218,1177,mm
219,1397,mm
220,1177,mm
221,2027,mm
222,1381,mm
223,12875,mm
224,2821,mm
225,1836,mm
226,1836,mm
227,1035,mm
228,1367,mm
229,1348,mm
230,2713,mm
231,12189,mm
232,9282,mm
233,39125,mm
234,1607,mm
235,1308,mm
236,22288,mm
237,1728,mm
238,1311,mm
239,4820,mm
240,1330,mm
241,1753,mm
242,1326,mm
243,1333,mm
244,48531,mm
245,2580,mm
246,35265,mm
247,9600,mm
248,1920,mm
249,1365,mm
250,51402,mm
251,39128,mm
252,1334,mm
253,35767,mm
254,1334,mm
255,1036,mm
256,46814,mm
257,1769,mm
258,1771,mm
259,1127,mm
260,1633,mm
