	Prevotella_copri	Bacteroides_B_dorei	Escherichia_coli_D	Prevotella_sp000434515	Prevotella_copri_A	Bacteroides_uniformis	Ruminococcus_E_bromii_B	Ruminococcus_E_bromii	Prevotella_sp001275135	Escherichia_albertii	Others
Prevotella_copri	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_B_dorei	16	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_D	2	17	0	0	0	0	0	0	0	0	0
Prevotella_sp000434515	3271	70	0	0	0	0	0	0	0	0	0
Prevotella_copri_A	3319	18	0	1370	0	0	0	0	0	0	0
Bacteroides_uniformis	4	523	6	28	6	0	0	0	0	0	0
Ruminococcus_E_bromii_B	2	20	0	0	0	31	0	0	0	0	0
Ruminococcus_E_bromii	0	5	0	0	0	7	7126	0	0	0	0
Prevotella_sp001275135	33	24	0	21	0	18	0	0	0	0	0
Escherichia_albertii	0	0	1706	0	0	0	0	0	0	0	0
Others	8970	31912	4773	4225	2106	15431	997	839	1750	1470	0
