,Events,Cohort,Group,Bases
0,246,ZellerG_2014,control,6512170482.0
1,210,ZellerG_2014,control,3298640533.0
2,310,ZellerG_2014,control,7846466205.0
3,213,ZellerG_2014,CRC,907920835.0
4,298,ZellerG_2014,control,6190369807.0
5,318,ZellerG_2014,control,3733212784.0
6,186,ZellerG_2014,control,5403961311.0
7,207,ZellerG_2014,control,5175146179.0
8,94,ZellerG_2014,CRC,2826425982.0
9,304,ZellerG_2014,control,5667757614.0
10,218,ZellerG_2014,control,5817465348.0
11,205,ZellerG_2014,control,5739043252.0
12,179,ZellerG_2014,control,6488989235.0
13,311,ZellerG_2014,control,5152050233.0
14,94,ZellerG_2014,CRC,5021042144.0
15,209,ZellerG_2014,control,5296232853.0
16,223,ZellerG_2014,control,8334068161.0
17,187,ZellerG_2014,control,3229069072.0
18,1,ZellerG_2014,CRC,497672074.0
19,88,ZellerG_2014,CRC,3848992468.0
20,207,ZellerG_2014,control,5363998665.0
21,95,ZellerG_2014,CRC,4256129777.0
22,440,ZellerG_2014,CRC,3631882002.0
23,1309,ZellerG_2014,control,3698892069.0
24,122,ZellerG_2014,control,4547422592.0
25,158,ZellerG_2014,control,6621569027.0
26,236,ZellerG_2014,control,7453752248.0
27,845,ZellerG_2014,CRC,5754783062.0
28,96,ZellerG_2014,control,4611051584.0
29,976,ZellerG_2014,control,6704190994.0
30,170,ZellerG_2014,CRC,4306955793.0
31,305,ZellerG_2014,CRC,7567990129.0
32,321,ZellerG_2014,CRC,8757847513.0
33,318,ZellerG_2014,control,5871764899.0
34,38,ZellerG_2014,CRC,11694061283.0
35,181,ZellerG_2014,control,3405411697.0
36,160,ZellerG_2014,control,7788532840.0
37,132,ZellerG_2014,control,3986872657.0
38,702,ZellerG_2014,control,7382792447.0
39,265,ZellerG_2014,control,4440407460.0
40,109,ZellerG_2014,CRC,5678829952.0
41,92,ZellerG_2014,CRC,3943928884.0
42,395,ZellerG_2014,control,6044922649.0
43,231,ZellerG_2014,CRC,4449210952.0
44,343,ZellerG_2014,control,5731938297.0
45,32,ZellerG_2014,control,3608044435.0
46,239,ZellerG_2014,CRC,7211705897.0
47,585,ZellerG_2014,CRC,4411570203.0
48,401,ZellerG_2014,CRC,7602125134.0
49,107,ZellerG_2014,CRC,3791242240.0
50,89,ZellerG_2014,CRC,4694864212.0
51,358,ZellerG_2014,control,6490271467.0
52,170,ZellerG_2014,control,6267951889.0
53,9,ZellerG_2014,CRC,4076256445.0
54,215,ZellerG_2014,control,2643933782.0
55,315,ZellerG_2014,control,7119073064.0
56,39,ZellerG_2014,CRC,3427270177.0
57,37,ZellerG_2014,CRC,1015859086.0
58,168,ZellerG_2014,CRC,3264825557.0
59,237,ZellerG_2014,control,4358945393.0
60,677,ZellerG_2014,CRC,2924500773.0
61,287,ZellerG_2014,control,5408998961.0
62,107,ZellerG_2014,CRC,4488120560.0
63,321,ZellerG_2014,control,6959611519.0
64,239,ZellerG_2014,control,5016717280.0
65,170,ZellerG_2014,CRC,4655519051.0
66,96,ZellerG_2014,CRC,3331840282.0
67,237,ZellerG_2014,CRC,3182274234.0
68,222,ZellerG_2014,CRC,4925782891.0
69,103,ZellerG_2014,CRC,2054641330.0
70,377,ZellerG_2014,CRC,8528422674.0
71,205,ZellerG_2014,CRC,6259486032.0
72,1041,ZellerG_2014,CRC,10842063366.0
73,129,ZellerG_2014,CRC,3209540648.0
74,163,ZellerG_2014,control,5241560072.0
75,196,ZellerG_2014,control,5705040835.0
76,326,ZellerG_2014,control,1992837785.0
77,344,ZellerG_2014,control,7966706877.0
78,338,ZellerG_2014,control,1128108433.0
79,62,ZellerG_2014,CRC,1369967696.0
80,212,ZellerG_2014,CRC,8220141004.0
81,262,ZellerG_2014,control,6260894901.0
82,73,ZellerG_2014,CRC,3848726385.0
83,237,ZellerG_2014,control,5138705109.0
84,424,ZellerG_2014,CRC,13684791942.0
85,249,ZellerG_2014,CRC,7783680878.0
86,318,ZellerG_2014,control,6619013691.0
87,134,ZellerG_2014,CRC,4966168603.0
88,132,ZellerG_2014,control,3056783044.0
89,272,ZellerG_2014,control,8078577899.0
90,765,ZellerG_2014,control,5713080966.0
91,300,ZellerG_2014,CRC,7809347444.0
92,379,ZellerG_2014,CRC,7855270798.0
93,244,ZellerG_2014,control,3180717679.0
94,163,ZellerG_2014,control,803852416.0
95,100,ZellerG_2014,CRC,6297114104.0
96,170,ZellerG_2014,CRC,2811757403.0
97,81,ZellerG_2014,CRC,4841564987.0
98,174,ZellerG_2014,CRC,4239137877.0
99,8,ZellerG_2014,CRC,3868143620.0
100,22,ZellerG_2014,CRC,2216475835.0
101,154,ZellerG_2014,CRC,7016009997.0
102,131,ZellerG_2014,control,5261700925.0
103,339,ZellerG_2014,control,6089304969.0
104,147,ZellerG_2014,control,5520171452.0
105,151,ZellerG_2014,CRC,8027807010.0
106,81,ZellerG_2014,control,1233826155.0
107,72,ZellerG_2014,control,3132363570.0
108,243,ZellerG_2014,control,5868133832.0
109,235,ZellerG_2014,control,4271802257.0
110,319,ZellerG_2014,control,5931273309.0
111,406,ZellerG_2014,control,3154490787.0
112,339,ZellerG_2014,CRC,3914532361.0
113,290,ZellerG_2014,CRC,5748965241.0
114,196,YachidaS_2019,CRC,8235608463.0
115,216,YachidaS_2019,CRC,6486706572.0
116,107,YachidaS_2019,CRC,8714631225.0
117,244,YachidaS_2019,CRC,9023711379.0
118,214,YachidaS_2019,control,11268958205.0
119,160,YachidaS_2019,CRC,2124339384.0
120,163,YachidaS_2019,CRC,5033451978.0
121,221,YachidaS_2019,CRC,6291025847.0
122,143,YachidaS_2019,CRC,2160696301.0
123,250,YachidaS_2019,CRC,10773756152.0
124,245,YachidaS_2019,CRC,8117330663.0
125,173,YachidaS_2019,CRC,8506158049.0
126,231,YachidaS_2019,CRC,7485815395.0
127,171,YachidaS_2019,control,11071213007.0
128,218,YachidaS_2019,control,4923550468.0
129,134,YachidaS_2019,control,3890370691.0
130,177,YachidaS_2019,CRC,6795738690.0
131,122,YachidaS_2019,control,5932336432.0
132,242,YachidaS_2019,control,14102828544.0
133,111,YachidaS_2019,control,4020310152.0
134,147,YachidaS_2019,CRC,4710443973.0
135,221,YachidaS_2019,CRC,6603287365.0
136,45,YachidaS_2019,CRC,5731747535.0
137,107,YachidaS_2019,CRC,6262276088.0
138,190,YachidaS_2019,CRC,6252293877.0
139,266,YachidaS_2019,control,7199905782.0
140,111,YachidaS_2019,control,5865243226.0
141,245,YachidaS_2019,CRC,5351408216.0
142,187,YachidaS_2019,control,5510583785.0
143,187,YachidaS_2019,control,4888766664.0
144,183,YachidaS_2019,CRC,4511745194.0
145,155,YachidaS_2019,control,5925622603.0
146,272,YachidaS_2019,control,6648229136.0
147,169,YachidaS_2019,CRC,4883791076.0
148,116,YachidaS_2019,control,5120578302.0
149,247,YachidaS_2019,CRC,6257013250.0
150,301,YachidaS_2019,control,6174743097.0
151,203,YachidaS_2019,control,10389944355.0
152,122,YachidaS_2019,CRC,4392262187.0
153,179,YachidaS_2019,CRC,5995084694.0
154,107,YachidaS_2019,CRC,5299259399.0
155,215,YachidaS_2019,control,5943253116.0
156,111,YachidaS_2019,CRC,5981611447.0
157,212,YachidaS_2019,CRC,3658139787.0
158,119,YachidaS_2019,control,6198285404.0
159,167,YachidaS_2019,CRC,6875666831.0
160,57,YachidaS_2019,control,6041888886.0
161,251,YachidaS_2019,CRC,6025260440.0
162,166,YachidaS_2019,control,5405697464.0
