,Ratio,Group,cohort
0,0.9836065573770492,control,ZellerG_2014
1,0.8301886792452831,CRC,ZellerG_2014
2,0.11475409836065574,control,ZellerG_2014
3,0.03773584905660377,CRC,ZellerG_2014
4,0.5573770491803278,control,ZellerG_2014
5,0.3018867924528302,CRC,ZellerG_2014
6,0.2786885245901639,control,ZellerG_2014
7,0.20754716981132076,CRC,ZellerG_2014
8,0.9180327868852459,control,ZellerG_2014
9,0.7358490566037735,CRC,ZellerG_2014
10,0.8852459016393442,control,ZellerG_2014
11,0.7358490566037735,CRC,ZellerG_2014
12,0.14754098360655737,control,ZellerG_2014
13,0.11320754716981132,CRC,ZellerG_2014
14,0.7868852459016393,control,ZellerG_2014
15,0.5471698113207547,CRC,ZellerG_2014
16,0.7540983606557377,control,ZellerG_2014
17,0.4716981132075472,CRC,ZellerG_2014
18,0.08196721311475409,control,ZellerG_2014
19,0.09433962264150944,CRC,ZellerG_2014
20,0.36065573770491804,control,ZellerG_2014
21,0.20754716981132076,CRC,ZellerG_2014
22,0.8524590163934426,control,ZellerG_2014
23,0.6792452830188679,CRC,ZellerG_2014
24,0.06557377049180328,control,ZellerG_2014
25,0.018867924528301886,CRC,ZellerG_2014
26,0.47540983606557374,control,ZellerG_2014
27,0.37735849056603776,CRC,ZellerG_2014
28,0.36065573770491804,control,ZellerG_2014
29,0.20754716981132076,CRC,ZellerG_2014
30,0.16393442622950818,control,ZellerG_2014
31,0.07547169811320754,CRC,ZellerG_2014
32,0.29508196721311475,control,ZellerG_2014
33,0.3584905660377358,CRC,ZellerG_2014
34,0.7377049180327869,control,ZellerG_2014
35,0.4528301886792453,CRC,ZellerG_2014
36,0.08196721311475409,control,ZellerG_2014
37,0.07547169811320754,CRC,ZellerG_2014
38,0.09836065573770492,control,ZellerG_2014
39,0.11320754716981132,CRC,ZellerG_2014
40,0.18032786885245902,control,ZellerG_2014
41,0.2830188679245283,CRC,ZellerG_2014
42,0.4098360655737705,control,ZellerG_2014
43,0.41509433962264153,CRC,ZellerG_2014
44,0.36065573770491804,control,ZellerG_2014
45,0.20754716981132076,CRC,ZellerG_2014
46,0.22950819672131148,control,ZellerG_2014
47,0.22641509433962265,CRC,ZellerG_2014
48,0.03278688524590164,control,ZellerG_2014
49,0.09433962264150944,CRC,ZellerG_2014
50,0.13114754098360656,control,ZellerG_2014
51,0.018867924528301886,CRC,ZellerG_2014
52,0.09836065573770492,control,ZellerG_2014
53,0.03773584905660377,CRC,ZellerG_2014
54,0.18032786885245902,control,ZellerG_2014
55,0.1320754716981132,CRC,ZellerG_2014
56,0.8360655737704918,control,ZellerG_2014
57,0.660377358490566,CRC,ZellerG_2014
58,0.39344262295081966,control,ZellerG_2014
59,0.22641509433962265,CRC,ZellerG_2014
60,0.4426229508196721,control,ZellerG_2014
61,0.37735849056603776,CRC,ZellerG_2014
62,0.29508196721311475,control,ZellerG_2014
63,0.16981132075471697,CRC,ZellerG_2014
64,0.5573770491803278,control,ZellerG_2014
65,0.3018867924528302,CRC,ZellerG_2014
66,0.06557377049180328,control,ZellerG_2014
67,0.018867924528301886,CRC,ZellerG_2014
68,0.3770491803278688,control,ZellerG_2014
69,0.2830188679245283,CRC,ZellerG_2014
70,0.39344262295081966,control,ZellerG_2014
71,0.11320754716981132,CRC,ZellerG_2014
72,0.09836065573770492,control,ZellerG_2014
73,0.07547169811320754,CRC,ZellerG_2014
74,0.7377049180327869,control,ZellerG_2014
75,0.32075471698113206,CRC,ZellerG_2014
76,0.4426229508196721,control,ZellerG_2014
77,0.2641509433962264,CRC,ZellerG_2014
78,0.22950819672131148,control,ZellerG_2014
79,0.09433962264150944,CRC,ZellerG_2014
80,0.13114754098360656,control,ZellerG_2014
81,0.03773584905660377,CRC,ZellerG_2014
82,0.8524590163934426,control,ZellerG_2014
83,0.6415094339622641,CRC,ZellerG_2014
84,0.06557377049180328,control,ZellerG_2014
85,0.018867924528301886,CRC,ZellerG_2014
86,0.2786885245901639,control,ZellerG_2014
87,0.1320754716981132,CRC,ZellerG_2014
88,0.7049180327868853,control,ZellerG_2014
89,0.5283018867924528,CRC,ZellerG_2014
90,0.45901639344262296,control,ZellerG_2014
91,0.2830188679245283,CRC,ZellerG_2014
92,0.8852459016393442,control,ZellerG_2014
93,0.5849056603773585,CRC,ZellerG_2014
94,0.4426229508196721,control,ZellerG_2014
95,0.22641509433962265,CRC,ZellerG_2014
96,0.7377049180327869,control,ZellerG_2014
97,0.5283018867924528,CRC,ZellerG_2014
98,0.7704918032786885,control,ZellerG_2014
99,0.4716981132075472,CRC,ZellerG_2014
100,0.8360655737704918,control,ZellerG_2014
101,0.5471698113207547,CRC,ZellerG_2014
102,0.5573770491803278,control,ZellerG_2014
103,0.2641509433962264,CRC,ZellerG_2014
104,0.21311475409836064,control,ZellerG_2014
105,0.1320754716981132,CRC,ZellerG_2014
