,sample,frequency,mechanism
0,SRR18490939,0.7,NHEJ
1,SRR18490939,0.26666666666666666,alt-EJ
2,SRR18490939,0.03333333333333333,TEI
3,SRR18490950,0.65,NHEJ
4,SRR18490950,0.35,alt-EJ
5,SRR18490950,0.0,TEI
6,SRR18490955,0.65,NHEJ
7,SRR18490955,0.35,alt-EJ
8,SRR18490955,0.0,TEI
9,SRR18490956,0.7,NHEJ
10,SRR18490956,0.3,alt-EJ
11,SRR18490956,0.0,TEI
12,SRR18490967,0.7272727272727273,NHEJ
13,SRR18490967,0.22727272727272727,alt-EJ
14,SRR18490967,0.045454545454545456,TEI
15,SRR18490978,0.6521739130434783,NHEJ
16,SRR18490978,0.34782608695652173,alt-EJ
17,SRR18490978,0.0,TEI
18,SRR18490988,0.6153846153846154,NHEJ
19,SRR18490988,0.34615384615384615,alt-EJ
20,SRR18490988,0.038461538461538464,TEI
21,SRR18490999,0.7777777777777778,NHEJ
22,SRR18490999,0.18518518518518517,alt-EJ
23,SRR18490999,0.037037037037037035,TEI
24,SRR18491017,0.6666666666666666,NHEJ
25,SRR18491017,0.3333333333333333,alt-EJ
26,SRR18491017,0.0,TEI
27,SRR18491028,0.6666666666666666,NHEJ
28,SRR18491028,0.3333333333333333,alt-EJ
29,SRR18491028,0.0,TEI
30,SRR18491038,0.6060606060606061,NHEJ
31,SRR18491038,0.36363636363636365,alt-EJ
32,SRR18491038,0.030303030303030304,TEI
33,SRR18491049,0.6111111111111112,NHEJ
34,SRR18491049,0.3333333333333333,alt-EJ
35,SRR18491049,0.05555555555555555,TEI
36,SRR18491060,0.7446808510638298,NHEJ
37,SRR18491060,0.2553191489361702,alt-EJ
38,SRR18491060,0.0,TEI
39,SRR18491067,0.6666666666666666,NHEJ
40,SRR18491067,0.25925925925925924,alt-EJ
41,SRR18491067,0.07407407407407407,TEI
42,SRR18491078,0.6551724137931034,NHEJ
43,SRR18491078,0.3448275862068966,alt-EJ
44,SRR18491078,0.0,TEI
45,SRR18491089,0.7,NHEJ
46,SRR18491089,0.3,alt-EJ
47,SRR18491089,0.0,TEI
48,SRR18491099,0.6896551724137931,NHEJ
49,SRR18491099,0.3103448275862069,alt-EJ
50,SRR18491099,0.0,TEI
51,SRR18491110,0.8888888888888888,NHEJ
52,SRR18491110,0.1111111111111111,alt-EJ
53,SRR18491110,0.0,TEI
54,SRR18491121,0.5789473684210527,NHEJ
55,SRR18491121,0.42105263157894735,alt-EJ
56,SRR18491121,0.0,TEI
57,SRR18491122,0.717948717948718,NHEJ
58,SRR18491122,0.28205128205128205,alt-EJ
59,SRR18491122,0.0,TEI
60,SRR18491123,0.7142857142857143,NHEJ
61,SRR18491123,0.2857142857142857,alt-EJ
62,SRR18491123,0.0,TEI
63,SRR18491124,0.6571428571428571,NHEJ
64,SRR18491124,0.34285714285714286,alt-EJ
65,SRR18491124,0.0,TEI
66,SRR18491125,0.0,NHEJ
67,SRR18491125,1.0,alt-EJ
68,SRR18491125,0.0,TEI
69,SRR18491136,0.75,NHEJ
70,SRR18491136,0.1875,alt-EJ
71,SRR18491136,0.0625,TEI
72,SRR18491147,0.5652173913043478,NHEJ
73,SRR18491147,0.43478260869565216,alt-EJ
74,SRR18491147,0.0,TEI
75,SRR18491157,0.6470588235294118,NHEJ
76,SRR18491157,0.3235294117647059,alt-EJ
77,SRR18491157,0.029411764705882353,TEI
78,SRR18491168,0.7674418604651163,NHEJ
79,SRR18491168,0.23255813953488372,alt-EJ
80,SRR18491168,0.0,TEI
81,SRR18491177,0.6470588235294118,NHEJ
82,SRR18491177,0.23529411764705882,alt-EJ
83,SRR18491177,0.11764705882352941,TEI
84,SRR18491178,0.7058823529411765,NHEJ
85,SRR18491178,0.29411764705882354,alt-EJ
86,SRR18491178,0.0,TEI
87,SRR18491179,0.4782608695652174,NHEJ
88,SRR18491179,0.4782608695652174,alt-EJ
89,SRR18491179,0.043478260869565216,TEI
90,SRR18491187,0.7,NHEJ
91,SRR18491187,0.3,alt-EJ
92,SRR18491187,0.0,TEI
93,SRR18491198,0.9375,NHEJ
94,SRR18491198,0.0625,alt-EJ
95,SRR18491198,0.0,TEI
96,SRR18491209,0.5405405405405406,NHEJ
97,SRR18491209,0.4594594594594595,alt-EJ
98,SRR18491209,0.0,TEI
99,SRR18491210,0.8387096774193549,NHEJ
100,SRR18491210,0.12903225806451613,alt-EJ
101,SRR18491210,0.03225806451612903,TEI
102,SRR18491221,0.6,NHEJ
103,SRR18491221,0.3,alt-EJ
104,SRR18491221,0.1,TEI
105,SRR18491232,0.7272727272727273,NHEJ
106,SRR18491232,0.2727272727272727,alt-EJ
107,SRR18491232,0.0,TEI
108,SRR18491235,0.5,NHEJ
109,SRR18491235,0.5,alt-EJ
110,SRR18491235,0.0,TEI
111,SRR18491236,0.6153846153846154,NHEJ
112,SRR18491236,0.38461538461538464,alt-EJ
113,SRR18491236,0.0,TEI
114,SRR18491238,0.6666666666666666,NHEJ
115,SRR18491238,0.3333333333333333,alt-EJ
116,SRR18491238,0.0,TEI
117,SRR18491239,0.6470588235294118,NHEJ
118,SRR18491239,0.35294117647058826,alt-EJ
119,SRR18491239,0.0,TEI
120,SRR18491240,0.8,NHEJ
121,SRR18491240,0.15,alt-EJ
122,SRR18491240,0.05,TEI
123,SRR18491241,0.6382978723404256,NHEJ
124,SRR18491241,0.3404255319148936,alt-EJ
125,SRR18491241,0.02127659574468085,TEI
126,SRR18491242,0.8095238095238095,NHEJ
127,SRR18491242,0.19047619047619047,alt-EJ
128,SRR18491242,0.0,TEI
129,SRR18491243,0.46,NHEJ
130,SRR18491243,0.42,alt-EJ
131,SRR18491243,0.12,TEI
132,SRR18491244,0.64,NHEJ
133,SRR18491244,0.34,alt-EJ
134,SRR18491244,0.02,TEI
135,SRR18491245,0.6923076923076923,NHEJ
136,SRR18491245,0.3076923076923077,alt-EJ
137,SRR18491245,0.0,TEI
138,SRR18491246,0.6666666666666666,NHEJ
139,SRR18491246,0.3333333333333333,alt-EJ
140,SRR18491246,0.0,TEI
141,SRR18491247,0.75,NHEJ
142,SRR18491247,0.25,alt-EJ
143,SRR18491247,0.0,TEI
144,SRR18491248,0.7741935483870968,NHEJ
145,SRR18491248,0.1935483870967742,alt-EJ
146,SRR18491248,0.03225806451612903,TEI
147,SRR18491249,0.9166666666666666,NHEJ
148,SRR18491249,0.08333333333333333,alt-EJ
149,SRR18491249,0.0,TEI
150,SRR18491250,0.7241379310344828,NHEJ
151,SRR18491250,0.27586206896551724,alt-EJ
152,SRR18491250,0.0,TEI
153,SRR18491251,0.6818181818181818,NHEJ
154,SRR18491251,0.2727272727272727,alt-EJ
155,SRR18491251,0.045454545454545456,TEI
156,SRR18491252,0.45454545454545453,NHEJ
157,SRR18491252,0.5151515151515151,alt-EJ
158,SRR18491252,0.030303030303030304,TEI
159,SRR18491253,0.5769230769230769,NHEJ
160,SRR18491253,0.38461538461538464,alt-EJ
161,SRR18491253,0.038461538461538464,TEI
162,SRR18491254,0.7931034482758621,NHEJ
163,SRR18491254,0.20689655172413793,alt-EJ
164,SRR18491254,0.0,TEI
165,SRR18491255,0.6666666666666666,NHEJ
166,SRR18491255,0.3333333333333333,alt-EJ
167,SRR18491255,0.0,TEI
168,SRR18491256,0.3076923076923077,NHEJ
169,SRR18491256,0.0,alt-EJ
170,SRR18491256,0.6923076923076923,TEI
171,SRR18491257,0.7142857142857143,NHEJ
172,SRR18491257,0.2857142857142857,alt-EJ
173,SRR18491257,0.0,TEI
174,SRR18491258,0.6818181818181818,NHEJ
175,SRR18491258,0.2727272727272727,alt-EJ
