,Microhomology,Group
0,0,HGT_Junction
1,0,Expected
2,1,HGT_Junction
3,0,Expected
4,2,HGT_Junction
5,1,Expected
6,1,HGT_Junction
7,0,Expected
8,0,HGT_Junction
9,4,Expected
10,1,HGT_Junction
11,0,Expected
12,6,HGT_Junction
13,2,Expected
14,1,HGT_Junction
15,2,Expected
16,0,HGT_Junction
17,0,Expected
18,0,HGT_Junction
19,0,Expected
20,0,HGT_Junction
21,2,Expected
22,4,HGT_Junction
23,2,Expected
24,20,HGT_Junction
25,0,Expected
26,1,HGT_Junction
27,2,Expected
28,0,HGT_Junction
29,1,Expected
30,0,HGT_Junction
31,1,Expected
32,0,HGT_Junction
33,0,Expected
34,1,HGT_Junction
35,2,Expected
36,1,HGT_Junction
37,1,Expected
38,7,HGT_Junction
39,0,Expected
40,1,HGT_Junction
41,5,Expected
42,1,HGT_Junction
43,0,Expected
44,0,HGT_Junction
45,4,Expected
46,1,HGT_Junction
47,1,Expected
48,1,HGT_Junction
49,1,Expected
50,1,HGT_Junction
51,0,Expected
52,8,HGT_Junction
53,1,Expected
54,1,HGT_Junction
55,1,Expected
56,7,HGT_Junction
57,0,Expected
58,4,HGT_Junction
59,0,Expected
60,0,HGT_Junction
61,0,Expected
62,1,HGT_Junction
63,0,Expected
64,1,HGT_Junction
65,4,Expected
66,0,HGT_Junction
67,2,Expected
68,0,HGT_Junction
69,0,Expected
70,0,HGT_Junction
71,2,Expected
72,1,HGT_Junction
73,5,Expected
74,4,HGT_Junction
75,0,Expected
76,0,HGT_Junction
77,0,Expected
78,5,HGT_Junction
79,1,Expected
80,1,HGT_Junction
81,1,Expected
82,2,HGT_Junction
83,1,Expected
84,0,HGT_Junction
85,0,Expected
86,1,HGT_Junction
87,2,Expected
88,3,HGT_Junction
89,1,Expected
90,0,HGT_Junction
91,1,Expected
92,1,HGT_Junction
93,0,Expected
94,2,HGT_Junction
95,0,Expected
96,5,HGT_Junction
97,6,Expected
98,0,HGT_Junction
99,1,Expected
100,1,HGT_Junction
101,3,Expected
102,0,HGT_Junction
103,1,Expected
104,13,HGT_Junction
105,8,Expected
106,1,HGT_Junction
107,0,Expected
108,3,HGT_Junction
109,19,Expected
110,0,HGT_Junction
111,0,Expected
112,0,HGT_Junction
113,5,Expected
114,2,HGT_Junction
115,0,Expected
116,0,HGT_Junction
117,1,Expected
118,4,HGT_Junction
119,7,Expected
120,5,HGT_Junction
121,0,Expected
122,8,HGT_Junction
123,1,Expected
124,0,HGT_Junction
125,0,Expected
126,1,HGT_Junction
127,2,Expected
128,5,HGT_Junction
129,8,Expected
130,8,HGT_Junction
131,5,Expected
132,5,HGT_Junction
133,1,Expected
134,0,HGT_Junction
135,0,Expected
136,1,HGT_Junction
137,3,Expected
138,1,HGT_Junction
139,3,Expected
140,0,HGT_Junction
141,1,Expected
142,1,HGT_Junction
143,10,Expected
144,0,HGT_Junction
145,2,Expected
146,3,HGT_Junction
147,1,Expected
148,20,HGT_Junction
149,0,Expected
150,7,HGT_Junction
151,1,Expected
152,3,HGT_Junction
153,1,Expected
154,11,HGT_Junction
155,1,Expected
156,2,HGT_Junction
157,4,Expected
158,1,HGT_Junction
159,2,Expected
160,1,HGT_Junction
161,4,Expected
162,1,HGT_Junction
163,2,Expected
164,1,HGT_Junction
165,1,Expected
166,2,HGT_Junction
167,1,Expected
168,0,HGT_Junction
169,0,Expected
170,0,HGT_Junction
171,1,Expected
172,0,HGT_Junction
173,1,Expected
174,1,HGT_Junction
175,0,Expected
176,8,HGT_Junction
177,1,Expected
178,0,HGT_Junction
179,1,Expected
180,5,HGT_Junction
181,1,Expected
182,1,HGT_Junction
183,0,Expected
184,4,HGT_Junction
185,0,Expected
186,0,HGT_Junction
187,0,Expected
188,1,HGT_Junction
189,4,Expected
190,0,HGT_Junction
191,1,Expected
192,1,HGT_Junction
193,0,Expected
194,0,HGT_Junction
195,2,Expected
196,1,HGT_Junction
197,4,Expected
198,1,HGT_Junction
199,1,Expected
200,4,HGT_Junction
201,0,Expected
202,0,HGT_Junction
