	Order	The Number of HGT	Level
0	p__Firmicutes_A	0.49697311921194054	1
1	p__Bacteroidota	0.37196726356246723	1
2	p__Firmicutes	0.04563004348204721	1
3	p__Proteobacteria	0.04437891957409582	1
4	p__Actinobacteriota	0.03259787840336452	1
5	p__Firmicutes_C	0.018385041723967554	1
6	p__Fusobacteriota	0.00899359596001006	1
7	p__Verrucomicrobiota	0.007934533281737348	1
8	p__Patescibacteria	0.007393050824549314	1
9	p__Campylobacterota	0.005667390994306584	1
10	c__Clostridia	0.4968975006439238	2
11	c__Bacteroidia	0.37196726356246723	2
12	c__Gammaproteobacteria	0.0461638025353694	2
13	c__Bacilli	0.04563004348204721	2
14	c__Actinobacteria	0.020558632623286013	2
15	c__Coriobacteriia	0.020260397057339223	2
16	c__Negativicutes	0.018385041723967554	2
17	c__Verrucomicrobiae	0.01164250578785771	2
18	c__Fusobacteriia	0.00899359596001006	2
19	c__Saccharimonadia	0.007393050824549314	2
20	o__Bacteroidales	0.3725545500181578	3
21	o__Lachnospirales	0.26107301681204964	3
22	o__Oscillospirales	0.1990634013123733	3
23	o__Enterobacterales	0.05402851891217425	3
24	o__Coriobacteriales	0.020467487702988122	3
25	o__Erysipelotrichales	0.019441772065890955	3
26	o__Actinomycetales	0.018578991596147603	3
27	o__TANB77	0.016407787169247026	3
28	o__Lactobacillales	0.015168828097103876	3
29	o__Veillonellales	0.013561511650693164	3
30	f__Bacteroidaceae	0.3060948132825665	4
31	f__Lachnospiraceae	0.25824022720987905	4
32	f__Ruminococcaceae	0.1100753897532333	4
33	f__Enterobacteriaceae	0.058970365769348644	4
34	f__Oscillospiraceae	0.051893644890327564	4
35	f__Acutalibacteraceae	0.03940736554334569	4
36	f__Rikenellaceae	0.02303883811332939	4
37	f__Bifidobacteriaceae	0.019431324982863655	4
38	f__Porphyromonadaceae	0.017749181370421214	4
39	f__Coriobacteriaceae	0.017521372292510214	4
40	g__Prevotella	0.12267287297878528	5
41	g__Bacteroides	0.11399078211091407	5
42	g__Faecalibacterium	0.0705280995606043	5
43	g__Escherichia	0.05212127213747572	5
44	g__Bacteroides_B	0.04829127401234746	5
45	g__Blautia_A	0.046609778212434685	5
46	g__Agathobacter	0.0457193289664447	5
47	g__Bacteroides_A	0.04443035665322099	5
48	g__Ruminococcus_E	0.02473825982168523	5
49	g__Gemmiger	0.02356932799920319	5
50	s__Prevotella copri	0.07434474172723106	6
51	s__Bacteroides_B dorei	0.05182364648025745	6
52	s__Escherichia coli_D	0.042460181187363444	6
53	s__Prevotella sp000434515	0.03839554329127651	6
54	s__Prevotella copri_A	0.03316863298488028	6
55	s__Bacteroides uniformis	0.030752879188446974	6
56	s__Ruminococcus_E bromii_B	0.02878606628376842	6
57	s__Ruminococcus_E bromii	0.027318555535465174	6
58	s__Prevotella sp001275135	0.02627471978091122	6
59	s__Escherichia albertii	0.025239484619109846	6
