"","pow_percentage","levels_list","distribution"
"1",0.758485639686684,"phylum","lognormal_positive"
"2",0.761096605744125,"phylum","exponential"
"3",0.621409921671018,"phylum","Weibull"
"4",0.792698826597132,"class","lognormal_positive"
"5",0.796610169491525,"class","exponential"
"6",0.644067796610169,"class","Weibull"
"7",0.926568758344459,"order","lognormal_positive"
"8",0.958611481975968,"order","exponential"
"9",0.83845126835781,"order","Weibull"
"10",0.965789473684211,"family","lognormal_positive"
"11",0.975,"family","exponential"
"12",0.919736842105263,"family","Weibull"
"13",0.968421052631579,"genus","lognormal_positive"
"14",0.989473684210526,"genus","exponential"
"15",0.921052631578947,"genus","Weibull"
"16",1,"species","lognormal_positive"
"17",1,"species","exponential"
"18",0.998685939553219,"species","Weibull"
