,times,count,frequency,group
0,1,9094,0.7878367841982153,different
1,2,1345,0.11652083513817899,different
2,4,240,0.02079182188339253,different
3,8,20,0.0017326518236160443,different
4,5,148,0.012821623494758728,different
5,3,539,0.046694966646452396,different
6,9,12,0.0010395910941696266,different
7,7,44,0.0038118340119552975,different
8,6,54,0.00467815992376332,different
9,12,5,0.00043316295590401107,different
10,11,6,0.0005197955470848133,different
11,16,4,0.0003465303647232089,different
12,15,2,0.00017326518236160444,different
13,10,8,0.0006930607294464178,different
14,14,4,0.0003465303647232089,different
15,36,1,8.663259118080222e-05,different
16,28,1,8.663259118080222e-05,different
17,26,1,8.663259118080222e-05,different
18,13,2,0.00017326518236160444,different
19,23,2,0.00017326518236160444,different
20,33,1,8.663259118080222e-05,different
21,31,1,8.663259118080222e-05,different
22,22,2,0.00017326518236160444,different
23,19,1,8.663259118080222e-05,different
24,25,1,8.663259118080222e-05,different
25,20,1,8.663259118080222e-05,different
26,21,2,0.00017326518236160444,different
27,38,1,8.663259118080222e-05,different
28,24,1,8.663259118080222e-05,different
29,1,11118,0.8558891454965358,same
30,4,199,0.015319476520400308,same
31,2,1052,0.08098537336412626,same
32,5,98,0.007544264819091609,same
33,3,391,0.030100076982294072,same
34,8,18,0.0013856812933025404,same
35,7,23,0.001770592763664357,same
36,9,9,0.0006928406466512702,same
37,6,54,0.004157043879907622,same
38,11,3,0.00023094688221709007,same
39,10,8,0.0006158583525789069,same
40,12,5,0.00038491147036181676,same
41,28,1,7.698229407236336e-05,same
42,18,1,7.698229407236336e-05,same
43,22,1,7.698229407236336e-05,same
44,17,2,0.00015396458814472672,same
45,20,2,0.00015396458814472672,same
46,15,2,0.00015396458814472672,same
47,13,1,7.698229407236336e-05,same
48,14,1,7.698229407236336e-05,same
49,32,1,7.698229407236336e-05,same
