	Position	Sample_Number	Genome
0	0	16	GUT_GENOME143505_1
1	100	28	GUT_GENOME143505_1
2	200	24	GUT_GENOME143505_1
3	300	35	GUT_GENOME143505_1
4	400	27	GUT_GENOME143505_1
5	500	19	GUT_GENOME143505_1
6	600	20	GUT_GENOME143505_1
7	700	25	GUT_GENOME143505_1
8	800	42	GUT_GENOME143505_1
9	900	27	GUT_GENOME143505_1
10	1000	34	GUT_GENOME143505_1
11	1100	19	GUT_GENOME143505_1
12	1200	31	GUT_GENOME143505_1
13	1300	27	GUT_GENOME143505_1
14	1400	27	GUT_GENOME143505_1
15	1500	29	GUT_GENOME143505_1
16	1600	24	GUT_GENOME143505_1
17	1700	26	GUT_GENOME143505_1
18	1800	27	GUT_GENOME143505_1
19	1900	28	GUT_GENOME143505_1
20	2000	36	GUT_GENOME143505_1
21	2100	26	GUT_GENOME143505_1
22	2200	21	GUT_GENOME143505_1
23	2300	9	GUT_GENOME143505_1
24	2400	10	GUT_GENOME143505_1
25	2500	13	GUT_GENOME143505_1
26	2600	14	GUT_GENOME143505_1
27	2700	21	GUT_GENOME143505_1
28	2800	28	GUT_GENOME143505_1
29	2900	28	GUT_GENOME143505_1
30	3000	28	GUT_GENOME143505_1
31	3100	30	GUT_GENOME143505_1
32	3200	31	GUT_GENOME143505_1
33	3300	28	GUT_GENOME143505_1
34	3400	20	GUT_GENOME143505_1
35	3500	26	GUT_GENOME143505_1
36	3600	28	GUT_GENOME143505_1
37	3700	40	GUT_GENOME143505_1
38	3800	26	GUT_GENOME143505_1
39	3900	22	GUT_GENOME143505_1
40	4000	19	GUT_GENOME143505_1
41	4100	23	GUT_GENOME143505_1
42	4200	26	GUT_GENOME143505_1
43	4300	44	GUT_GENOME143505_1
44	4400	29	GUT_GENOME143505_1
45	4500	52	GUT_GENOME143505_1
46	4600	41	GUT_GENOME143505_1
47	4700	35	GUT_GENOME143505_1
48	4800	28	GUT_GENOME143505_1
49	4900	32	GUT_GENOME143505_1
50	5000	29	GUT_GENOME143505_1
51	5100	105	GUT_GENOME143505_1
52	5200	80	GUT_GENOME143505_1
53	5300	25	GUT_GENOME143505_1
54	5400	29	GUT_GENOME143505_1
55	5500	28	GUT_GENOME143505_1
56	5600	22	GUT_GENOME143505_1
57	5700	34	GUT_GENOME143505_1
58	5800	34	GUT_GENOME143505_1
59	5900	46	GUT_GENOME143505_1
60	6000	33	GUT_GENOME143505_1
61	6100	27	GUT_GENOME143505_1
62	6200	20	GUT_GENOME143505_1
63	6300	29	GUT_GENOME143505_1
64	6400	29	GUT_GENOME143505_1
65	6500	45	GUT_GENOME143505_1
66	6600	33	GUT_GENOME143505_1
67	6700	31	GUT_GENOME143505_1
68	6800	23	GUT_GENOME143505_1
69	6900	14	GUT_GENOME143505_1
70	7000	38	GUT_GENOME143505_1
71	7100	31	GUT_GENOME143505_1
72	7200	40	GUT_GENOME143505_1
73	7300	29	GUT_GENOME143505_1
74	7400	35	GUT_GENOME143505_1
75	7500	34	GUT_GENOME143505_1
76	7600	26	GUT_GENOME143505_1
77	7700	29	GUT_GENOME143505_1
78	7800	19	GUT_GENOME143505_1
79	7900	14	GUT_GENOME143505_1
80	8000	18	GUT_GENOME143505_1
81	8100	36	GUT_GENOME143505_1
82	8200	36	GUT_GENOME143505_1
83	8300	33	GUT_GENOME143505_1
84	8400	32	GUT_GENOME143505_1
85	8500	24	GUT_GENOME143505_1
86	8600	21	GUT_GENOME143505_1
87	8700	27	GUT_GENOME143505_1
88	8800	47	GUT_GENOME143505_1
89	8900	24	GUT_GENOME143505_1
90	9000	32	GUT_GENOME143505_1
91	9100	31	GUT_GENOME143505_1
92	9200	28	GUT_GENOME143505_1
93	9300	35	GUT_GENOME143505_1
94	9400	38	GUT_GENOME143505_1
95	9500	27	GUT_GENOME143505_1
96	9600	21	GUT_GENOME143505_1
97	9700	16	GUT_GENOME143505_1
98	9800	17	GUT_GENOME143505_1
99	9900	23	GUT_GENOME143505_1
100	10000	33	GUT_GENOME143505_1
101	10100	34	GUT_GENOME143505_1
102	10200	26	GUT_GENOME143505_1
103	10300	40	GUT_GENOME143505_1
104	10400	22	GUT_GENOME143505_1
105	10500	37	GUT_GENOME143505_1
