	seq_id	start	end	seq_id2	start2	end2
0	GUT_GENOME143131_1	86800	86801	GUT_GENOME143505_1	29500	29501
1	GUT_GENOME143131_1	56200	56201	GUT_GENOME143505_1	63800	63801
2	GUT_GENOME143131_1	57900	57901	GUT_GENOME143505_1	60200	60201
3	GUT_GENOME143131_1	50500	50501	GUT_GENOME143505_1	39300	39301
4	GUT_GENOME143131_1	58300	58301	GUT_GENOME143505_1	39900	39901
5	GUT_GENOME143131_1	75200	75201	GUT_GENOME143505_1	87000	87001
6	GUT_GENOME143131_1	83100	83101	GUT_GENOME143505_1	92300	92301
7	GUT_GENOME143131_1	42500	42501	GUT_GENOME143505_1	93500	93501
8	GUT_GENOME143131_1	97300	97301	GUT_GENOME143505_1	30500	30501
9	GUT_GENOME143131_1	19700	19701	GUT_GENOME143505_1	71600	71601
10	GUT_GENOME143131_1	37100	37101	GUT_GENOME143505_1	60000	60001
11	GUT_GENOME143131_1	28600	28601	GUT_GENOME143505_1	92300	92301
12	GUT_GENOME143131_1	5700	5701	GUT_GENOME143505_1	29100	29101
13	GUT_GENOME143131_1	77700	77701	GUT_GENOME143505_1	89000	89001
14	GUT_GENOME143131_1	80800	80801	GUT_GENOME143505_1	1400	1401
15	GUT_GENOME143131_1	0	1	GUT_GENOME143505_1	85900	85901
16	GUT_GENOME143131_1	77500	77501	GUT_GENOME143505_1	37100	37101
17	GUT_GENOME143131_1	73400	73401	GUT_GENOME143505_1	57700	57701
18	GUT_GENOME143131_1	79200	79201	GUT_GENOME143505_1	78200	78201
19	GUT_GENOME143131_1	33700	33701	GUT_GENOME143505_1	77200	77201
20	GUT_GENOME143131_1	85600	85601	GUT_GENOME143505_1	69900	69901
21	GUT_GENOME143131_1	15600	15601	GUT_GENOME143505_1	69400	69401
22	GUT_GENOME143131_1	39800	39801	GUT_GENOME143505_1	34200	34201
23	GUT_GENOME143131_1	6200	6201	GUT_GENOME143505_1	80200	80201
24	GUT_GENOME143131_1	44900	44901	GUT_GENOME143505_1	73600	73601
25	GUT_GENOME143131_1	84300	84301	GUT_GENOME143505_1	40000	40001
26	GUT_GENOME143131_1	63400	63401	GUT_GENOME143505_1	99600	99601
27	GUT_GENOME143131_1	33900	33901	GUT_GENOME143505_1	97400	97401
28	GUT_GENOME143131_1	44600	44601	GUT_GENOME143505_1	87100	87101
29	GUT_GENOME143131_1	53800	53801	GUT_GENOME143505_1	3800	3801
30	GUT_GENOME143505_1	98900	98901	GUT_GENOME147678_1	87000	87001
31	GUT_GENOME143505_1	83800	83801	GUT_GENOME147678_1	5000	5001
32	GUT_GENOME143505_1	34500	34501	GUT_GENOME147678_1	38100	38101
33	GUT_GENOME143505_1	49000	49001	GUT_GENOME147678_1	68300	68301
34	GUT_GENOME143505_1	63400	63401	GUT_GENOME147678_1	45200	45201
35	GUT_GENOME143505_1	97400	97401	GUT_GENOME147678_1	86600	86601
36	GUT_GENOME143505_1	59300	59301	GUT_GENOME147678_1	49300	49301
37	GUT_GENOME143505_1	72400	72401	GUT_GENOME147678_1	74200	74201
38	GUT_GENOME143505_1	85000	85001	GUT_GENOME147678_1	34600	34601
39	GUT_GENOME143505_1	29300	29301	GUT_GENOME147678_1	52600	52601
40	GUT_GENOME143505_1	58400	58401	GUT_GENOME147678_1	52000	52001
41	GUT_GENOME143505_1	84700	84701	GUT_GENOME147678_1	35900	35901
42	GUT_GENOME143505_1	56100	56101	GUT_GENOME147678_1	25000	25001
43	GUT_GENOME143505_1	96300	96301	GUT_GENOME147678_1	17600	17601
44	GUT_GENOME143505_1	58100	58101	GUT_GENOME147678_1	15500	15501
45	GUT_GENOME143505_1	80800	80801	GUT_GENOME147678_1	65700	65701
46	GUT_GENOME143505_1	97900	97901	GUT_GENOME147678_1	49100	49101
47	GUT_GENOME143505_1	5200	5201	GUT_GENOME147678_1	14500	14501
48	GUT_GENOME143505_1	65900	65901	GUT_GENOME147678_1	38100	38101
49	GUT_GENOME143505_1	22400	22401	GUT_GENOME147678_1	63600	63601
50	GUT_GENOME143505_1	78000	78001	GUT_GENOME147678_1	83400	83401
51	GUT_GENOME143505_1	89800	89801	GUT_GENOME147678_1	63800	63801
52	GUT_GENOME143505_1	85400	85401	GUT_GENOME147678_1	82600	82601
53	GUT_GENOME143505_1	73200	73201	GUT_GENOME147678_1	58000	58001
54	GUT_GENOME143505_1	77800	77801	GUT_GENOME147678_1	66800	66801
55	GUT_GENOME143505_1	97900	97901	GUT_GENOME147678_1	94700	94701
56	GUT_GENOME143505_1	94200	94201	GUT_GENOME147678_1	39900	39901
57	GUT_GENOME143505_1	79200	79201	GUT_GENOME147678_1	93800	93801
58	GUT_GENOME143505_1	89000	89001	GUT_GENOME147678_1	4600	4601
59	GUT_GENOME143505_1	68400	68401	GUT_GENOME147678_1	12100	12101
60	GUT_GENOME096063_2	61600	61601	GUT_GENOME147678_1	44200	44201
61	GUT_GENOME096063_2	8700	8701	GUT_GENOME147678_1	1300	1301
62	GUT_GENOME096063_2	18400	18401	GUT_GENOME147678_1	59200	59201
63	GUT_GENOME096063_2	36600	36601	GUT_GENOME147678_1	83500	83501
64	GUT_GENOME096063_2	38000	38001	GUT_GENOME147678_1	12500	12501
65	GUT_GENOME096063_2	59700	59701	GUT_GENOME147678_1	49000	49001
66	GUT_GENOME096063_2	70600	70601	GUT_GENOME147678_1	68100	68101
67	GUT_GENOME096063_2	31800	31801	GUT_GENOME147678_1	40200	40201
68	GUT_GENOME096063_2	86100	86101	GUT_GENOME147678_1	34100	34101
69	GUT_GENOME096063_2	33600	33601	GUT_GENOME147678_1	14500	14501
70	GUT_GENOME096063_2	48600	48601	GUT_GENOME147678_1	42200	42201
71	GUT_GENOME096063_2	70400	70401	GUT_GENOME147678_1	24900	24901
